 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                na30          na31          na32          na33          na34          mg20          mg21          mg22 
     52  7.255817382538E-04  1.075837E-30  1.116604E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004208E-30
     53  7.551843574001E-04  1.078914E-30  1.121289E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004381E-30
     54  7.854224313090E-04  1.082056E-30  1.126068E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004557E-30
     55  8.164066374138E-04  1.085274E-30  1.130959E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004739E-30
     56  8.482679080764E-04  1.088582E-30  1.135982E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004925E-30
     57  8.811699017317E-04  1.091996E-30  1.141162E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005117E-30
     58  9.153304977871E-04  1.095539E-30  1.146533E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005317E-30
     59  9.510634923056E-04  1.099243E-30  1.152143E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005527E-30
     60  9.888739022907E-04  1.103160E-30  1.158071E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005749E-30
     61  1.029744313280E-03  1.107392E-30  1.164468E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005988E-30
     62  1.076805333108E-03  1.112262E-30  1.171820E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006265E-30
     63  1.127478238084E-03  1.117502E-30  1.179722E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006562E-30
     64  1.179263354774E-03  1.122853E-30  1.187779E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006867E-30
     65  1.231720185468E-03  1.128270E-30  1.195925E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007176E-30
     66  1.284679788904E-03  1.133734E-30  1.204130E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007488E-30
     67  1.338068714676E-03  1.139238E-30  1.212384E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007803E-30
     68  1.391852718980E-03  1.144779E-30  1.220681E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008121E-30
     69  1.446014888479E-03  1.150354E-30  1.229018E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008441E-30
     70  1.500546342624E-03  1.155963E-30  1.237393E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008763E-30
     71  1.555442065896E-03  1.161605E-30  1.245805E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009088E-30
     72  1.610698967280E-03  1.167279E-30  1.254254E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009416E-30
     73  1.666314948699E-03  1.172986E-30  1.262739E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009746E-30
     74  1.722288445659E-03  1.178725E-30  1.271258E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010078E-30
     75  1.778618195039E-03  1.184496E-30  1.279812E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010413E-30
     76  1.835303663832E-03  1.190298E-30  1.288401E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010751E-30
     77  1.892344396716E-03  1.196132E-30  1.297023E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011090E-30
     78  1.949739812628E-03  1.201997E-30  1.305678E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011433E-30
     79  2.007489276907E-03  1.207894E-30  1.314367E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011777E-30
     80  2.065592139419E-03  1.213822E-30  1.323088E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012124E-30
     81  2.124047755162E-03  1.219781E-30  1.331841E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012474E-30
     82  2.182855495215E-03  1.225770E-30  1.340626E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012826E-30
     83  2.242014752368E-03  1.231790E-30  1.349443E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013181E-30
     84  2.301524943777E-03  1.237841E-30  1.358290E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013538E-30
     85  2.361385511936E-03  1.243922E-30  1.367167E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013897E-30
     86  2.421595924701E-03  1.250034E-30  1.376075E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014259E-30
     87  2.482155674804E-03  1.256175E-30  1.385012E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014624E-30
     88  2.543064279071E-03  1.262347E-30  1.393979E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014991E-30
     89  2.604321277494E-03  1.268548E-30  1.402974E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015360E-30
     90  2.665926232237E-03  1.274779E-30  1.411998E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015732E-30
     91  2.727878734382E-03  1.281040E-30  1.421050E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016106E-30
     92  2.790178404165E-03  1.287330E-30  1.430129E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016483E-30
     93  2.852824875480E-03  1.293649E-30  1.439236E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016863E-30
     94  2.915817796872E-03  1.299998E-30  1.448370E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017245E-30
     95  2.979156831833E-03  1.306375E-30  1.457530E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017629E-30
