 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ti62          ti63          ti64          ti65          ti66          ti67          v40           v41  
     53  7.551843574001E-04  1.132186E-30  1.136574E-30  1.204210E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.137398E-30  1.141932E-30  1.212230E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.142732E-30  1.147413E-30  1.220435E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.148210E-30  1.153040E-30  1.228860E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.153860E-30  1.158842E-30  1.237547E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.159718E-30  1.164854E-30  1.246550E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.165838E-30  1.171132E-30  1.255953E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.172304E-30  1.177762E-30  1.265883E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.179283E-30  1.184915E-30  1.276597E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.187305E-30  1.193131E-30  1.288907E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.195926E-30  1.201956E-30  1.302130E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.204718E-30  1.210951E-30  1.315609E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.213607E-30  1.220038E-30  1.329229E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.222562E-30  1.229186E-30  1.342943E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.231571E-30  1.238384E-30  1.356732E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.240628E-30  1.247623E-30  1.370587E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.249729E-30  1.256902E-30  1.384503E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.258872E-30  1.266218E-30  1.398476E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.268057E-30  1.275569E-30  1.412505E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.277282E-30  1.284954E-30  1.426587E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.286548E-30  1.294374E-30  1.440723E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.295852E-30  1.303827E-30  1.454911E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.305195E-30  1.313312E-30  1.469150E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.314576E-30  1.322829E-30  1.483439E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
