 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pb238         pb239         pb240         pb241         pb242         pb243         pb244         pb245
     58  9.153304977871E-04  1.009734E-30  1.011385E-30  1.008714E-30  1.177713E-30  1.000000E-30  1.052660E-30  1.032850E-30  1.070412E-30
     59  9.510634923056E-04  1.010123E-30  1.011837E-30  1.009049E-30  1.184543E-30  1.000000E-30  1.054659E-30  1.034087E-30  1.073068E-30
     60  9.888739022907E-04  1.010535E-30  1.012317E-30  1.009403E-30  1.191761E-30  1.000000E-30  1.056769E-30  1.035392E-30  1.075870E-30
     61  1.029744313280E-03  1.010982E-30  1.012836E-30  1.009785E-30  1.199553E-30  1.000000E-30  1.059045E-30  1.036799E-30  1.078890E-30
     62  1.076805333108E-03  1.011497E-30  1.013434E-30  1.010225E-30  1.208513E-30  1.000000E-30  1.061658E-30  1.038413E-30  1.082357E-30
     63  1.127478238084E-03  1.012053E-30  1.014080E-30  1.010697E-30  1.218145E-30  1.000000E-30  1.064464E-30  1.040145E-30  1.086077E-30
     64  1.179263354774E-03  1.012623E-30  1.014740E-30  1.011180E-30  1.227973E-30  1.000000E-30  1.067323E-30  1.041908E-30  1.089864E-30
     65  1.231720185468E-03  1.013201E-30  1.015411E-30  1.011667E-30  1.237910E-30  1.000000E-30  1.070210E-30  1.043687E-30  1.093686E-30
     66  1.284679788904E-03  1.013787E-30  1.016090E-30  1.012159E-30  1.247925E-30  1.000000E-30  1.073116E-30  1.045475E-30  1.097530E-30
     67  1.338068714676E-03  1.014378E-30  1.016775E-30  1.012653E-30  1.258004E-30  1.000000E-30  1.076036E-30  1.047271E-30  1.101390E-30
     68  1.391852718980E-03  1.014976E-30  1.017466E-30  1.013151E-30  1.268140E-30  1.000000E-30  1.078968E-30  1.049073E-30  1.105264E-30
     69  1.446014888479E-03  1.015579E-30  1.018164E-30  1.013651E-30  1.278329E-30  1.000000E-30  1.081911E-30  1.050881E-30  1.109150E-30
     70  1.500546342624E-03  1.016188E-30  1.018867E-30  1.014153E-30  1.288569E-30  1.000000E-30  1.084865E-30  1.052693E-30  1.113047E-30
     71  1.555442065896E-03  1.016802E-30  1.019577E-30  1.014659E-30  1.298860E-30  1.000000E-30  1.087830E-30  1.054509E-30  1.116954E-30
     72  1.610698967280E-03  1.017422E-30  1.020293E-30  1.015166E-30  1.309199E-30  1.000000E-30  1.090803E-30  1.056331E-30  1.120871E-30
     73  1.666314948699E-03  1.018047E-30  1.021014E-30  1.015676E-30  1.319586E-30  1.000000E-30  1.093787E-30  1.058156E-30  1.124799E-30
     74  1.722288445659E-03  1.018678E-30  1.021742E-30  1.016188E-30  1.330021E-30  1.000000E-30  1.096780E-30  1.059985E-30  1.128735E-30
     75  1.778618195039E-03  1.019314E-30  1.022476E-30  1.016703E-30  1.340504E-30  1.000000E-30  1.099782E-30  1.061818E-30  1.132681E-30
     76  1.835303663832E-03  1.019957E-30  1.023215E-30  1.017220E-30  1.351032E-30  1.000000E-30  1.102792E-30  1.063655E-30  1.136635E-30
     77  1.892344396716E-03  1.020604E-30  1.023961E-30  1.017739E-30  1.361608E-30  1.000000E-30  1.105812E-30  1.065495E-30  1.140597E-30
     78  1.949739812628E-03  1.021258E-30  1.024712E-30  1.018261E-30  1.372229E-30  1.000000E-30  1.108840E-30  1.067339E-30  1.144568E-30
     79  2.007489276907E-03  1.021917E-30  1.025470E-30  1.018785E-30  1.382895E-30  1.000000E-30  1.111876E-30  1.069186E-30  1.148547E-30
     80  2.065592139419E-03  1.022581E-30  1.026234E-30  1.019311E-30  1.393606E-30  1.000000E-30  1.114920E-30  1.071037E-30  1.152533E-30
     81  2.124047755162E-03  1.023251E-30  1.027003E-30  1.019839E-30  1.404362E-30  1.000000E-30  1.117973E-30  1.072890E-30  1.156526E-30
     82  2.182855495215E-03  1.023927E-30  1.027779E-30  1.020369E-30  1.415161E-30  1.000000E-30  1.121033E-30  1.074747E-30  1.160527E-30
     83  2.242014752368E-03  1.024609E-30  1.028561E-30  1.020902E-30  1.426005E-30  1.000000E-30  1.124101E-30  1.076606E-30  1.164534E-30
     84  2.301524943777E-03  1.025296E-30  1.029349E-30  1.021437E-30  1.436891E-30  1.000000E-30  1.127176E-30  1.078468E-30  1.168548E-30
     85  2.361385511936E-03  1.025989E-30  1.030143E-30  1.021974E-30  1.447820E-30  1.000000E-30  1.130258E-30  1.080332E-30  1.172568E-30
     86  2.421595924701E-03  1.026688E-30  1.030943E-30  1.022513E-30  1.458791E-30  1.000000E-30  1.133347E-30  1.082199E-30  1.176594E-30
     87  2.482155674804E-03  1.027393E-30  1.031749E-30  1.023054E-30  1.469805E-30  1.000000E-30  1.136443E-30  1.084068E-30  1.180626E-30
     88  2.543064279071E-03  1.028103E-30  1.032561E-30  1.023597E-30  1.480859E-30  1.000000E-30  1.139546E-30  1.085939E-30  1.184663E-30
     89  2.604321277494E-03  1.028819E-30  1.033380E-30  1.024142E-30  1.491955E-30  1.000000E-30  1.142656E-30  1.087812E-30  1.188706E-30
     90  2.665926232237E-03  1.029541E-30  1.034204E-30  1.024690E-30  1.503091E-30  1.000000E-30  1.145771E-30  1.089687E-30  1.192753E-30
     91  2.727878734382E-03  1.030269E-30  1.035035E-30  1.025239E-30  1.514267E-30  1.000000E-30  1.148893E-30  1.091564E-30  1.196805E-30
     92  2.790178404165E-03  1.031003E-30  1.035872E-30  1.025790E-30  1.525483E-30  1.000000E-30  1.152021E-30  1.093443E-30  1.200861E-30
     93  2.852824875480E-03  1.031742E-30  1.036715E-30  1.026343E-30  1.536738E-30  1.000000E-30  1.155154E-30  1.095323E-30  1.204922E-30
     94  2.915817796872E-03  1.032488E-30  1.037564E-30  1.026898E-30  1.548033E-30  1.000000E-30  1.158294E-30  1.097205E-30  1.208986E-30
