 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mo118         mo119         mo120         mo121         mo122         mo123         mo124         mo125
     56  8.482679080764E-04  1.034068E-30  1.049475E-30  1.047388E-30  1.067259E-30  1.014163E-30  1.103482E-30  1.107279E-30  1.000000E-30
     57  8.811699017317E-04  1.035390E-30  1.051383E-30  1.049220E-30  1.069832E-30  1.014785E-30  1.107458E-30  1.111321E-30  1.000000E-30
     58  9.153304977871E-04  1.036764E-30  1.053363E-30  1.051121E-30  1.072501E-30  1.015437E-30  1.111584E-30  1.115509E-30  1.000000E-30
     59  9.510634923056E-04  1.038200E-30  1.055434E-30  1.053110E-30  1.075289E-30  1.016125E-30  1.115896E-30  1.119879E-30  1.000000E-30
     60  9.888739022907E-04  1.039721E-30  1.057625E-30  1.055213E-30  1.078236E-30  1.016859E-30  1.120455E-30  1.124492E-30  1.000000E-30
     61  1.029744313280E-03  1.041366E-30  1.059992E-30  1.057486E-30  1.081418E-30  1.017661E-30  1.125380E-30  1.129466E-30  1.000000E-30
     62  1.076805333108E-03  1.043260E-30  1.062718E-30  1.060102E-30  1.085077E-30  1.018593E-30  1.131045E-30  1.135176E-30  1.000000E-30
     63  1.127478238084E-03  1.045300E-30  1.065651E-30  1.062917E-30  1.089010E-30  1.019610E-30  1.137138E-30  1.141305E-30  1.000000E-30
     64  1.179263354774E-03  1.047385E-30  1.068648E-30  1.065794E-30  1.093023E-30  1.020661E-30  1.143358E-30  1.147548E-30  1.000000E-30
     65  1.231720185468E-03  1.049499E-30  1.071683E-30  1.068706E-30  1.097082E-30  1.021738E-30  1.149652E-30  1.153850E-30  1.000000E-30
     66  1.284679788904E-03  1.051634E-30  1.074746E-30  1.071644E-30  1.101173E-30  1.022839E-30  1.156000E-30  1.160190E-30  1.000000E-30
     67  1.338068714676E-03  1.053787E-30  1.077834E-30  1.074605E-30  1.105290E-30  1.023962E-30  1.162391E-30  1.166560E-30  1.000000E-30
     68  1.391852718980E-03  1.055958E-30  1.080944E-30  1.077587E-30  1.109431E-30  1.025107E-30  1.168823E-30  1.172954E-30  1.000000E-30
     69  1.446014888479E-03  1.058145E-30  1.084075E-30  1.080588E-30  1.113594E-30  1.026274E-30  1.175292E-30  1.179370E-30  1.000000E-30
     70  1.500546342624E-03  1.060348E-30  1.087227E-30  1.083608E-30  1.117778E-30  1.027461E-30  1.181798E-30  1.185807E-30  1.000000E-30
     71  1.555442065896E-03  1.062568E-30  1.090401E-30  1.086647E-30  1.121983E-30  1.028671E-30  1.188340E-30  1.192264E-30  1.000000E-30
     72  1.610698967280E-03  1.064803E-30  1.093595E-30  1.089704E-30  1.126208E-30  1.029902E-30  1.194917E-30  1.198740E-30  1.000000E-30
     73  1.666314948699E-03  1.067055E-30  1.096810E-30  1.092779E-30  1.130454E-30  1.031155E-30  1.201529E-30  1.205235E-30  1.000000E-30
     74  1.722288445659E-03  1.069322E-30  1.100046E-30  1.095873E-30  1.134719E-30  1.032430E-30  1.208176E-30  1.211747E-30  1.000000E-30
     75  1.778618195039E-03  1.071606E-30  1.103302E-30  1.098984E-30  1.139004E-30  1.033727E-30  1.214857E-30  1.218277E-30  1.000000E-30
     76  1.835303663832E-03  1.073907E-30  1.106580E-30  1.102114E-30  1.143308E-30  1.035047E-30  1.221572E-30  1.224823E-30  1.000000E-30
     77  1.892344396716E-03  1.076223E-30  1.109879E-30  1.105261E-30  1.147631E-30  1.036389E-30  1.228321E-30  1.231387E-30  1.000000E-30
