 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nd172         nd173         nd174         nd175         nd176         nd177         nd178         pm130
     64  1.179263354774E-03  1.020659E-30  1.034619E-30  1.039629E-30  1.049954E-30  1.069162E-30  1.031011E-30  1.053887E-30  1.000000E-30
     65  1.231720185468E-03  1.021607E-30  1.036185E-30  1.041440E-30  1.052263E-30  1.072142E-30  1.032320E-30  1.056164E-30  1.000000E-30
     66  1.284679788904E-03  1.022567E-30  1.037769E-30  1.043273E-30  1.054601E-30  1.075142E-30  1.033635E-30  1.058453E-30  1.000000E-30
     67  1.338068714676E-03  1.023537E-30  1.039368E-30  1.045124E-30  1.056964E-30  1.078158E-30  1.034955E-30  1.060751E-30  1.000000E-30
     68  1.391852718980E-03  1.024517E-30  1.040981E-30  1.046993E-30  1.059352E-30  1.081189E-30  1.036279E-30  1.063055E-30  1.000000E-30
     69  1.446014888479E-03  1.025506E-30  1.042607E-30  1.048878E-30  1.061764E-30  1.084232E-30  1.037607E-30  1.065365E-30  1.000000E-30
     70  1.500546342624E-03  1.026505E-30  1.044247E-30  1.050781E-30  1.064200E-30  1.087287E-30  1.038937E-30  1.067681E-30  1.000000E-30
     71  1.555442065896E-03  1.027513E-30  1.045900E-30  1.052701E-30  1.066659E-30  1.090354E-30  1.040269E-30  1.070001E-30  1.000000E-30
     72  1.610698967280E-03  1.028531E-30  1.047566E-30  1.054637E-30  1.069141E-30  1.093432E-30  1.041605E-30  1.072326E-30  1.000000E-30
     73  1.666314948699E-03  1.029558E-30  1.049245E-30  1.056590E-30  1.071646E-30  1.096521E-30  1.042942E-30  1.074656E-30  1.000000E-30
     74  1.722288445659E-03  1.030595E-30  1.050937E-30  1.058559E-30  1.074175E-30  1.099622E-30  1.044282E-30  1.076990E-30  1.000000E-30
     75  1.778618195039E-03  1.031641E-30  1.052642E-30  1.060545E-30  1.076727E-30  1.102733E-30  1.045624E-30  1.079328E-30  1.000000E-30
     76  1.835303663832E-03  1.032697E-30  1.054361E-30  1.062548E-30  1.079302E-30  1.105854E-30  1.046968E-30  1.081669E-30  1.000000E-30
     77  1.892344396716E-03  1.033763E-30  1.056092E-30  1.064567E-30  1.081901E-30  1.108986E-30  1.048314E-30  1.084014E-30  1.000000E-30
     78  1.949739812628E-03  1.034838E-30  1.057837E-30  1.066603E-30  1.084523E-30  1.112128E-30  1.049662E-30  1.086363E-30  1.000000E-30
     79  2.007489276907E-03  1.035923E-30  1.059594E-30  1.068655E-30  1.087168E-30  1.115281E-30  1.051012E-30  1.088715E-30  1.000000E-30
     80  2.065592139419E-03  1.037018E-30  1.061365E-30  1.070725E-30  1.089837E-30  1.118443E-30  1.052363E-30  1.091070E-30  1.000000E-30
     81  2.124047755162E-03  1.038123E-30  1.063149E-30  1.072811E-30  1.092529E-30  1.121614E-30  1.053715E-30  1.093428E-30  1.000000E-30
     82  2.182855495215E-03  1.039238E-30  1.064945E-30  1.074914E-30  1.095244E-30  1.124795E-30  1.055070E-30  1.095789E-30  1.000000E-30
     83  2.242014752368E-03  1.040363E-30  1.066755E-30  1.077033E-30  1.097983E-30  1.127986E-30  1.056425E-30  1.098152E-30  1.000000E-30
     84  2.301524943777E-03  1.041498E-30  1.068578E-30  1.079170E-30  1.100745E-30  1.131185E-30  1.057781E-30  1.100518E-30  1.000000E-30
     85  2.361385511936E-03  1.042643E-30  1.070414E-30  1.081323E-30  1.103531E-30  1.134393E-30  1.059139E-30  1.102886E-30  1.000000E-30
     86  2.421595924701E-03  1.043798E-30  1.072264E-30  1.083493E-30  1.106341E-30  1.137611E-30  1.060498E-30  1.105256E-30  1.000000E-30
     87  2.482155674804E-03  1.044963E-30  1.074126E-30  1.085679E-30  1.109174E-30  1.140836E-30  1.061857E-30  1.107628E-30  1.000000E-30
     88  2.543064279071E-03  1.046139E-30  1.076001E-30  1.087883E-30  1.112030E-30  1.144071E-30  1.063218E-30  1.110001E-30  1.000000E-30
     89  2.604321277494E-03  1.047325E-30  1.077890E-30  1.090103E-30  1.114910E-30  1.147313E-30  1.064579E-30  1.112376E-30  1.000000E-30
     90  2.665926232237E-03  1.048521E-30  1.079791E-30  1.092340E-30  1.117814E-30  1.150564E-30  1.065941E-30  1.114753E-30  1.000000E-30
     91  2.727878734382E-03  1.049728E-30  1.081706E-30  1.094594E-30  1.120741E-30  1.153822E-30  1.067303E-30  1.117131E-30  1.000000E-30
     92  2.790178404165E-03  1.050945E-30  1.083634E-30  1.096865E-30  1.123691E-30  1.157088E-30  1.068666E-30  1.119510E-30  1.000000E-30
     93  2.852824875480E-03  1.052173E-30  1.085575E-30  1.099153E-30  1.126666E-30  1.160362E-30  1.070029E-30  1.121890E-30  1.000000E-30
     94  2.915817796872E-03  1.053412E-30  1.087529E-30  1.101457E-30  1.129663E-30  1.163643E-30  1.071392E-30  1.124270E-30  1.000000E-30
     95  2.979156831833E-03  1.054661E-30  1.089497E-30  1.103779E-30  1.132685E-30  1.166932E-30  1.072756E-30  1.126651E-30  1.000000E-30
