 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tb187         tb188         tb189         tb190         tb191         tb192         dy143         dy144
     54  7.854224313090E-04  1.003683E-30  1.002469E-30  1.013944E-30  1.010353E-30  1.033034E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.003837E-30  1.002570E-30  1.014503E-30  1.010787E-30  1.034314E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.003997E-30  1.002675E-30  1.015077E-30  1.011236E-30  1.035628E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.004163E-30  1.002783E-30  1.015672E-30  1.011701E-30  1.036984E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.004336E-30  1.002896E-30  1.016289E-30  1.012186E-30  1.038389E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.004517E-30  1.003014E-30  1.016936E-30  1.012696E-30  1.039857E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.004710E-30  1.003140E-30  1.017621E-30  1.013238E-30  1.041407E-30  1.000000E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.004920E-30  1.003276E-30  1.018363E-30  1.013827E-30  1.043080E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.005164E-30  1.003434E-30  1.019219E-30  1.014510E-30  1.045003E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.005428E-30  1.003605E-30  1.020141E-30  1.015249E-30  1.047069E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.005699E-30  1.003780E-30  1.021086E-30  1.016010E-30  1.049176E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.005976E-30  1.003959E-30  1.022044E-30  1.016786E-30  1.051305E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.006258E-30  1.004141E-30  1.023013E-30  1.017575E-30  1.053450E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.006544E-30  1.004324E-30  1.023992E-30  1.018376E-30  1.055607E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.006834E-30  1.004511E-30  1.024980E-30  1.019188E-30  1.057774E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.007129E-30  1.004700E-30  1.025977E-30  1.020011E-30  1.059952E-30  1.000000E-30  1.000000E-30  1.000000E-30
