 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ga83          ga84          ga85          ga86          ga87          ga88          ga89          ga90 
     72  1.610698967280E-03  1.046022E-30  1.003484E-30  1.036075E-30  1.012259E-30  1.035901E-30  1.022608E-30  1.053600E-30  1.000000E-30
     73  1.666314948699E-03  1.047608E-30  1.003618E-30  1.037341E-30  1.012823E-30  1.037115E-30  1.023350E-30  1.055376E-30  1.000000E-30
     74  1.722288445659E-03  1.049204E-30  1.003754E-30  1.038617E-30  1.013399E-30  1.038335E-30  1.024094E-30  1.057159E-30  1.000000E-30
     75  1.778618195039E-03  1.050810E-30  1.003892E-30  1.039903E-30  1.013987E-30  1.039562E-30  1.024840E-30  1.058948E-30  1.000000E-30
     76  1.835303663832E-03  1.052426E-30  1.004032E-30  1.041198E-30  1.014589E-30  1.040794E-30  1.025588E-30  1.060743E-30  1.000000E-30
     77  1.892344396716E-03  1.054052E-30  1.004173E-30  1.042502E-30  1.015204E-30  1.042032E-30  1.026338E-30  1.062545E-30  1.000000E-30
     78  1.949739812628E-03  1.055688E-30  1.004317E-30  1.043816E-30  1.015832E-30  1.043277E-30  1.027090E-30  1.064353E-30  1.000000E-30
     79  2.007489276907E-03  1.057334E-30  1.004462E-30  1.045140E-30  1.016474E-30  1.044527E-30  1.027845E-30  1.066167E-30  1.000000E-30
     80  2.065592139419E-03  1.058989E-30  1.004609E-30  1.046473E-30  1.017129E-30  1.045783E-30  1.028601E-30  1.067986E-30  1.000000E-30
     81  2.124047755162E-03  1.060655E-30  1.004758E-30  1.047815E-30  1.017798E-30  1.047045E-30  1.029359E-30  1.069812E-30  1.000000E-30
     82  2.182855495215E-03  1.062330E-30  1.004909E-30  1.049168E-30  1.018480E-30  1.048312E-30  1.030119E-30  1.071643E-30  1.000000E-30
     83  2.242014752368E-03  1.064015E-30  1.005062E-30  1.050529E-30  1.019177E-30  1.049586E-30  1.030881E-30  1.073480E-30  1.000000E-30
     84  2.301524943777E-03  1.065709E-30  1.005217E-30  1.051901E-30  1.019887E-30  1.050865E-30  1.031644E-30  1.075322E-30  1.000000E-30
     85  2.361385511936E-03  1.067414E-30  1.005374E-30  1.053282E-30  1.020612E-30  1.052149E-30  1.032409E-30  1.077170E-30  1.000000E-30
     86  2.421595924701E-03  1.069128E-30  1.005533E-30  1.054672E-30  1.021351E-30  1.053439E-30  1.033176E-30  1.079023E-30  1.000000E-30
     87  2.482155674804E-03  1.070852E-30  1.005694E-30  1.056072E-30  1.022105E-30  1.054735E-30  1.033944E-30  1.080882E-30  1.000000E-30
     88  2.543064279071E-03  1.072586E-30  1.005856E-30  1.057482E-30  1.022873E-30  1.056036E-30  1.034714E-30  1.082745E-30  1.000000E-30
     89  2.604321277494E-03  1.074329E-30  1.006021E-30  1.058901E-30  1.023656E-30  1.057343E-30  1.035486E-30  1.084614E-30  1.000000E-30
     90  2.665926232237E-03  1.076082E-30  1.006188E-30  1.060330E-30  1.024454E-30  1.058655E-30  1.036259E-30  1.086487E-30  1.000000E-30
     91  2.727878734382E-03  1.077845E-30  1.006357E-30  1.061769E-30  1.025266E-30  1.059973E-30  1.037033E-30  1.088366E-30  1.000000E-30
     92  2.790178404165E-03  1.079617E-30  1.006528E-30  1.063217E-30  1.026094E-30  1.061295E-30  1.037809E-30  1.090249E-30  1.000000E-30
     93  2.852824875480E-03  1.081399E-30  1.006701E-30  1.064675E-30  1.026937E-30  1.062624E-30  1.038586E-30  1.092137E-30  1.000000E-30
     94  2.915817796872E-03  1.083190E-30  1.006877E-30  1.066143E-30  1.027796E-30  1.063957E-30  1.039365E-30  1.094029E-30  1.000000E-30
     95  2.979156831833E-03  1.084991E-30  1.007054E-30  1.067620E-30  1.028670E-30  1.065296E-30  1.040144E-30  1.095926E-30  1.000000E-30
