 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nb113         nb114         nb115         nb116         nb117         nb118         nb119         nb120
     58  9.153304977871E-04  1.006731E-30  1.005197E-30  1.000000E-30  1.009417E-30  1.000000E-30  1.013404E-30  1.004699E-30  1.013116E-30
     59  9.510634923056E-04  1.007006E-30  1.005446E-30  1.000000E-30  1.009848E-30  1.000000E-30  1.014052E-30  1.005050E-30  1.013607E-30
     60  9.888739022907E-04  1.007298E-30  1.005714E-30  1.000000E-30  1.010310E-30  1.000000E-30  1.014746E-30  1.005435E-30  1.014126E-30
     61  1.029744313280E-03  1.007614E-30  1.006007E-30  1.000000E-30  1.010814E-30  1.000000E-30  1.015509E-30  1.005866E-30  1.014684E-30
     62  1.076805333108E-03  1.007981E-30  1.006351E-30  1.000000E-30  1.011403E-30  1.000002E-30  1.016401E-30  1.006382E-30  1.015325E-30
     63  1.127478238084E-03  1.008377E-30  1.006727E-30  1.000000E-30  1.012045E-30  1.000018E-30  1.017378E-30  1.006960E-30  1.016012E-30
     64  1.179263354774E-03  1.008783E-30  1.007119E-30  1.000000E-30  1.012711E-30  1.000050E-30  1.018395E-30  1.007574E-30  1.016711E-30
     65  1.231720185468E-03  1.009198E-30  1.007522E-30  1.000000E-30  1.013395E-30  1.000099E-30  1.019443E-30  1.008221E-30  1.017416E-30
     66  1.284679788904E-03  1.009618E-30  1.007937E-30  1.000000E-30  1.014096E-30  1.000166E-30  1.020520E-30  1.008900E-30  1.018124E-30
     67  1.338068714676E-03  1.010043E-30  1.008363E-30  1.000000E-30  1.014812E-30  1.000251E-30  1.021625E-30  1.009609E-30  1.018835E-30
     68  1.391852718980E-03  1.010474E-30  1.008800E-30  1.000000E-30  1.015543E-30  1.000353E-30  1.022756E-30  1.010348E-30  1.019548E-30
     69  1.446014888479E-03  1.010910E-30  1.009247E-30  1.000000E-30  1.016290E-30  1.000474E-30  1.023915E-30  1.011118E-30  1.020263E-30
     70  1.500546342624E-03  1.011351E-30  1.009704E-30  1.000000E-30  1.017051E-30  1.000612E-30  1.025101E-30  1.011919E-30  1.020979E-30
     71  1.555442065896E-03  1.011798E-30  1.010173E-30  1.000001E-30  1.017829E-30  1.000770E-30  1.026314E-30  1.012750E-30  1.021697E-30
     72  1.610698967280E-03  1.012249E-30  1.010652E-30  1.000012E-30  1.018621E-30  1.000946E-30  1.027554E-30  1.013613E-30  1.022416E-30
     73  1.666314948699E-03  1.012706E-30  1.011143E-30  1.000034E-30  1.019429E-30  1.001141E-30  1.028822E-30  1.014507E-30  1.023136E-30
     74  1.722288445659E-03  1.013169E-30  1.011644E-30  1.000068E-30  1.020253E-30  1.001356E-30  1.030117E-30  1.015433E-30  1.023857E-30
     75  1.778618195039E-03  1.013636E-30  1.012157E-30  1.000113E-30  1.021092E-30  1.001590E-30  1.031441E-30  1.016391E-30  1.024580E-30
     76  1.835303663832E-03  1.014109E-30  1.012681E-30  1.000170E-30  1.021947E-30  1.001843E-30  1.032792E-30  1.017381E-30  1.025304E-30
     77  1.892344396716E-03  1.014587E-30  1.013216E-30  1.000239E-30  1.022818E-30  1.002117E-30  1.034172E-30  1.018403E-30  1.026028E-30
     78  1.949739812628E-03  1.015071E-30  1.013763E-30  1.000320E-30  1.023705E-30  1.002410E-30  1.035580E-30  1.019457E-30  1.026754E-30
     79  2.007489276907E-03  1.015560E-30  1.014322E-30  1.000414E-30  1.024609E-30  1.002724E-30  1.037017E-30  1.020544E-30  1.027480E-30
     80  2.065592139419E-03  1.016055E-30  1.014892E-30  1.000520E-30  1.025529E-30  1.003059E-30  1.038482E-30  1.021664E-30  1.028207E-30
     81  2.124047755162E-03  1.016556E-30  1.015475E-30  1.000638E-30  1.026465E-30  1.003414E-30  1.039977E-30  1.022817E-30  1.028936E-30
     82  2.182855495215E-03  1.017062E-30  1.016069E-30  1.000769E-30  1.027417E-30  1.003790E-30  1.041501E-30  1.024004E-30  1.029664E-30
     83  2.242014752368E-03  1.017574E-30  1.016675E-30  1.000914E-30  1.028387E-30  1.004187E-30  1.043053E-30  1.025224E-30  1.030394E-30
     84  2.301524943777E-03  1.018091E-30  1.017294E-30  1.001071E-30  1.029373E-30  1.004606E-30  1.044636E-30  1.026477E-30  1.031124E-30
     85  2.361385511936E-03  1.018615E-30  1.017925E-30  1.001241E-30  1.030376E-30  1.005045E-30  1.046247E-30  1.027765E-30  1.031854E-30
     86  2.421595924701E-03  1.019144E-30  1.018568E-30  1.001425E-30  1.031396E-30  1.005507E-30  1.047889E-30  1.029086E-30  1.032586E-30
     87  2.482155674804E-03  1.019679E-30  1.019224E-30  1.001622E-30  1.032433E-30  1.005991E-30  1.049560E-30  1.030442E-30  1.033317E-30
     88  2.543064279071E-03  1.020221E-30  1.019893E-30  1.001833E-30  1.033487E-30  1.006496E-30  1.051262E-30  1.031831E-30  1.034049E-30
     89  2.604321277494E-03  1.020768E-30  1.020574E-30  1.002058E-30  1.034559E-30  1.007024E-30  1.052994E-30  1.033256E-30  1.034781E-30
     90  2.665926232237E-03  1.021321E-30  1.021268E-30  1.002297E-30  1.035648E-30  1.007574E-30  1.054755E-30  1.034714E-30  1.035514E-30
     91  2.727878734382E-03  1.021881E-30  1.021975E-30  1.002550E-30  1.036754E-30  1.008147E-30  1.056548E-30  1.036208E-30  1.036247E-30
     92  2.790178404165E-03  1.022446E-30  1.022696E-30  1.002817E-30  1.037879E-30  1.008742E-30  1.058371E-30  1.037736E-30  1.036980E-30
     93  2.852824875480E-03  1.023018E-30  1.023429E-30  1.003098E-30  1.039020E-30  1.009361E-30  1.060224E-30  1.039300E-30  1.037713E-30
     94  2.915817796872E-03  1.023596E-30  1.024176E-30  1.003394E-30  1.040180E-30  1.010002E-30  1.062109E-30  1.040898E-30  1.038447E-30
     95  2.979156831833E-03  1.024181E-30  1.024936E-30  1.003705E-30  1.041357E-30  1.010667E-30  1.064024E-30  1.042532E-30  1.039180E-30
