 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cr75          mn44          mn45          mn46          mn47          mn48          mn49          mn50 
     41  4.138876583201E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.005882E-30  1.010276E-30  1.004748E-30  1.003351E-30  1.000841E-30
     42  4.432651277490E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006297E-30  1.011005E-30  1.005089E-30  1.003589E-30  1.000901E-30
     43  4.720041568584E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.006704E-30  1.011717E-30  1.005422E-30  1.003822E-30  1.000960E-30
     44  5.002792532552E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007103E-30  1.012418E-30  1.005750E-30  1.004052E-30  1.001018E-30
     45  5.282472522620E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007498E-30  1.013110E-30  1.006076E-30  1.004278E-30  1.001075E-30
     46  5.560479783168E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.007890E-30  1.013799E-30  1.006399E-30  1.004504E-30  1.001132E-30
     47  5.838060709037E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008282E-30  1.014487E-30  1.006723E-30  1.004729E-30  1.001189E-30
     48  6.116334118686E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.008674E-30  1.015176E-30  1.007048E-30  1.004955E-30  1.001246E-30
     49  6.396318340541E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009069E-30  1.015869E-30  1.007375E-30  1.005182E-30  1.001303E-30
     50  6.678959636874E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009467E-30  1.016568E-30  1.007706E-30  1.005411E-30  1.001361E-30
     51  6.965161747902E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.009870E-30  1.017277E-30  1.008041E-30  1.005644E-30  1.001420E-30
     52  7.255817382538E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.010278E-30  1.017996E-30  1.008382E-30  1.005880E-30  1.001480E-30
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.010694E-30  1.018728E-30  1.008730E-30  1.006120E-30  1.001541E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.011119E-30  1.019476E-30  1.009085E-30  1.006366E-30  1.001603E-30
