 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                si36          si37          si38          si39          si40          si41          si42          si43 
     69  1.446014888479E-03  1.009141E-30  1.754675E-28  1.000000E-30  1.212718E-30  1.223773E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.009494E-30  1.886262E-28  1.000000E-30  1.220715E-30  1.232093E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.009851E-30  2.023377E-28  1.000000E-30  1.228764E-30  1.240460E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.010211E-30  2.166084E-28  1.000000E-30  1.236864E-30  1.248874E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.010574E-30  2.314451E-28  1.000000E-30  1.245015E-30  1.257333E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.010939E-30  2.468546E-28  1.000000E-30  1.253216E-30  1.265838E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.011308E-30  2.628437E-28  1.000000E-30  1.261467E-30  1.274388E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.011680E-30  2.794195E-28  1.000000E-30  1.269769E-30  1.282983E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.012055E-30  2.965888E-28  1.000000E-30  1.278121E-30  1.291622E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.012433E-30  3.143587E-28  1.000000E-30  1.286522E-30  1.300306E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.012814E-30  3.327359E-28  1.000000E-30  1.294974E-30  1.309034E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.013198E-30  3.517274E-28  1.000000E-30  1.303475E-30  1.317806E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.013585E-30  3.713398E-28  1.000000E-30  1.312026E-30  1.326621E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.013975E-30  3.915800E-28  1.000000E-30  1.320626E-30  1.335480E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.014368E-30  4.124547E-28  1.000000E-30  1.329276E-30  1.344381E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.014765E-30  4.339706E-28  1.000000E-30  1.337974E-30  1.353326E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.015164E-30  4.561344E-28  1.000000E-30  1.346722E-30  1.362313E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.015567E-30  4.789527E-28  1.000000E-30  1.355519E-30  1.371343E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.015973E-30  5.024321E-28  1.000000E-30  1.364365E-30  1.380414E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.016382E-30  5.265792E-28  1.000000E-30  1.373259E-30  1.389527E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.016794E-30  5.514006E-28  1.000000E-30  1.382202E-30  1.398682E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.017209E-30  5.769028E-28  1.000000E-30  1.391193E-30  1.407879E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.017627E-30  6.030924E-28  1.000000E-30  1.400233E-30  1.417116E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.018049E-30  6.299757E-28  1.000000E-30  1.409321E-30  1.426395E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.018473E-30  6.575594E-28  1.000000E-30  1.418458E-30  1.435714E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.018901E-30  6.858497E-28  1.000000E-30  1.427642E-30  1.445073E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.019333E-30  7.148532E-28  1.000000E-30  1.436875E-30  1.454473E-30  1.000000E-30  1.000000E-30  1.000000E-30
