 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sr103         sr104         sr105         sr106         sr107         sr108         sr109         sr110
     57  8.811699017317E-04  1.017536E-30  1.036846E-30  1.040072E-30  1.046019E-30  1.059292E-30  1.056860E-30  1.065381E-30  1.061701E-30
     58  9.153304977871E-04  1.018211E-30  1.038269E-30  1.041624E-30  1.047800E-30  1.061584E-30  1.059102E-30  1.067876E-30  1.064039E-30
     59  9.510634923056E-04  1.018916E-30  1.039757E-30  1.043247E-30  1.049662E-30  1.063981E-30  1.061449E-30  1.070483E-30  1.066481E-30
     60  9.888739022907E-04  1.019663E-30  1.041331E-30  1.044964E-30  1.051632E-30  1.066517E-30  1.063937E-30  1.073239E-30  1.069061E-30
     61  1.029744313280E-03  1.020469E-30  1.043032E-30  1.046820E-30  1.053761E-30  1.069257E-30  1.066629E-30  1.076213E-30  1.071843E-30
     62  1.076805333108E-03  1.021397E-30  1.044990E-30  1.048957E-30  1.056213E-30  1.072411E-30  1.069734E-30  1.079632E-30  1.075041E-30
     63  1.127478238084E-03  1.022396E-30  1.047098E-30  1.051258E-30  1.058851E-30  1.075806E-30  1.073083E-30  1.083308E-30  1.078475E-30
     64  1.179263354774E-03  1.023416E-30  1.049252E-30  1.053610E-30  1.061548E-30  1.079275E-30  1.076510E-30  1.087058E-30  1.081976E-30
     65  1.231720185468E-03  1.024448E-30  1.051433E-30  1.055993E-30  1.064278E-30  1.082787E-30  1.079988E-30  1.090850E-30  1.085513E-30
     66  1.284679788904E-03  1.025490E-30  1.053634E-30  1.058399E-30  1.067034E-30  1.086332E-30  1.083506E-30  1.094671E-30  1.089075E-30
     67  1.338068714676E-03  1.026540E-30  1.055853E-30  1.060824E-30  1.069811E-30  1.089904E-30  1.087058E-30  1.098517E-30  1.092656E-30
     68  1.391852718980E-03  1.027597E-30  1.058087E-30  1.063268E-30  1.072609E-30  1.093501E-30  1.090642E-30  1.102383E-30  1.096255E-30
     69  1.446014888479E-03  1.028660E-30  1.060337E-30  1.065730E-30  1.075425E-30  1.097122E-30  1.094257E-30  1.106270E-30  1.099869E-30
     70  1.500546342624E-03  1.029731E-30  1.062601E-30  1.068209E-30  1.078260E-30  1.100766E-30  1.097903E-30  1.110176E-30  1.103498E-30
     71  1.555442065896E-03  1.030808E-30  1.064880E-30  1.070705E-30  1.081113E-30  1.104433E-30  1.101579E-30  1.114101E-30  1.107141E-30
     72  1.610698967280E-03  1.031891E-30  1.067174E-30  1.073218E-30  1.083984E-30  1.108123E-30  1.105285E-30  1.118044E-30  1.110799E-30
     73  1.666314948699E-03  1.032982E-30  1.069482E-30  1.075748E-30  1.086872E-30  1.111835E-30  1.109022E-30  1.122005E-30  1.114470E-30
     74  1.722288445659E-03  1.034078E-30  1.071804E-30  1.078295E-30  1.089779E-30  1.115570E-30  1.112789E-30  1.125985E-30  1.118155E-30
     75  1.778618195039E-03  1.035181E-30  1.074141E-30  1.080859E-30  1.092703E-30  1.119326E-30  1.116585E-30  1.129981E-30  1.121853E-30
     76  1.835303663832E-03  1.036291E-30  1.076493E-30  1.083441E-30  1.095645E-30  1.123105E-30  1.120412E-30  1.133996E-30  1.125564E-30
     77  1.892344396716E-03  1.037407E-30  1.078859E-30  1.086039E-30  1.098604E-30  1.126906E-30  1.124269E-30  1.138028E-30  1.129288E-30
     78  1.949739812628E-03  1.038530E-30  1.081240E-30  1.088655E-30  1.101581E-30  1.130729E-30  1.128155E-30  1.142076E-30  1.133024E-30
     79  2.007489276907E-03  1.039659E-30  1.083635E-30  1.091288E-30  1.104576E-30  1.134574E-30  1.132072E-30  1.146142E-30  1.136773E-30
     80  2.065592139419E-03  1.040795E-30  1.086044E-30  1.093938E-30  1.107588E-30  1.138440E-30  1.136019E-30  1.150225E-30  1.140534E-30
