 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                h2            h3            he3           li6           li7           li8           li9           be7  
     70  1.500546342624E-03  1.947562E-30  6.318837E-29  1.000000E-30  1.000000E-30  4.030429E-28  1.047654E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  2.018227E-30  6.546346E-29  1.000000E-30  1.000000E-30  4.177494E-28  1.051196E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  2.091938E-30  6.775351E-29  1.000000E-30  1.000000E-30  4.325525E-28  1.054889E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  2.168744E-30  7.005845E-29  1.000000E-30  1.000000E-30  4.474517E-28  1.058736E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  2.248695E-30  7.237821E-29  1.000000E-30  1.000000E-30  4.624465E-28  1.062739E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  2.331843E-30  7.471273E-29  1.000000E-30  1.000000E-30  4.775366E-28  1.066900E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  2.418238E-30  7.706199E-29  1.000000E-30  1.000000E-30  4.927219E-28  1.071223E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  2.507933E-30  7.942598E-29  1.000000E-30  1.000000E-30  5.080022E-28  1.075710E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  2.600981E-30  8.180466E-29  1.000000E-30  1.000000E-30  5.233774E-28  1.080362E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  2.697433E-30  8.419802E-29  1.000000E-30  1.000000E-30  5.388472E-28  1.085184E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  2.797344E-30  8.660602E-29  1.000000E-30  1.000000E-30  5.544117E-28  1.090176E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  2.900766E-30  8.902865E-29  1.000000E-30  1.000000E-30  5.700704E-28  1.095343E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  3.007752E-30  9.146587E-29  1.000000E-30  1.000000E-30  5.858234E-28  1.100685E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  3.118356E-30  9.391765E-29  1.000000E-30  1.000000E-30  6.016703E-28  1.106207E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  3.232632E-30  9.638398E-29  1.000000E-30  1.000000E-30  6.176111E-28  1.111910E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  3.350634E-30  9.886483E-29  1.000000E-30  1.000000E-30  6.336457E-28  1.117797E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  3.472418E-30  1.013602E-28  1.000000E-30  1.000000E-30  6.497737E-28  1.123871E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  3.598036E-30  1.038700E-28  1.000000E-30  1.000000E-30  6.659952E-28  1.130134E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  3.727546E-30  1.063943E-28  1.000000E-30  1.000000E-30  6.823100E-28  1.136588E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  3.861003E-30  1.089330E-28  1.000000E-30  1.000000E-30  6.987180E-28  1.143237E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  3.998461E-30  1.114862E-28  1.000000E-30  1.000000E-30  7.152189E-28  1.150084E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  4.139979E-30  1.140537E-28  1.000000E-30  1.000000E-30  7.318129E-28  1.157130E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  4.285611E-30  1.166357E-28  1.000000E-30  1.000000E-30  7.484996E-28  1.164378E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  4.435416E-30  1.192320E-28  1.000000E-30  1.000000E-30  7.652791E-28  1.171832E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  4.589451E-30  1.218426E-28  1.000000E-30  1.000000E-30  7.821512E-28  1.179493E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  4.747772E-30  1.244676E-28  1.000000E-30  1.000000E-30  7.991158E-28  1.187365E-30  1.000000E-30  1.000000E-30
