 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                w205          w206          w207          w208          w209          w210          w211          w212 
     62  1.076805333108E-03  1.002942E-30  1.018660E-30  1.000000E-30  1.018556E-30  1.005786E-30  1.011300E-30  1.003269E-30  1.013756E-30
     63  1.127478238084E-03  1.003083E-30  1.019538E-30  1.000000E-30  1.019428E-30  1.006063E-30  1.011833E-30  1.003432E-30  1.014411E-30
     64  1.179263354774E-03  1.003226E-30  1.020434E-30  1.000000E-30  1.020318E-30  1.006346E-30  1.012378E-30  1.003599E-30  1.015081E-30
     65  1.231720185468E-03  1.003372E-30  1.021342E-30  1.000000E-30  1.021220E-30  1.006634E-30  1.012930E-30  1.003770E-30  1.015760E-30
     66  1.284679788904E-03  1.003520E-30  1.022258E-30  1.000000E-30  1.022131E-30  1.006925E-30  1.013488E-30  1.003943E-30  1.016447E-30
     67  1.338068714676E-03  1.003668E-30  1.023182E-30  1.000000E-30  1.023048E-30  1.007219E-30  1.014051E-30  1.004118E-30  1.017140E-30
     68  1.391852718980E-03  1.003818E-30  1.024112E-30  1.000000E-30  1.023973E-30  1.007515E-30  1.014617E-30  1.004295E-30  1.017839E-30
     69  1.446014888479E-03  1.003970E-30  1.025049E-30  1.000000E-30  1.024903E-30  1.007815E-30  1.015188E-30  1.004475E-30  1.018544E-30
     70  1.500546342624E-03  1.004122E-30  1.025992E-30  1.000000E-30  1.025840E-30  1.008116E-30  1.015763E-30  1.004656E-30  1.019254E-30
     71  1.555442065896E-03  1.004276E-30  1.026941E-30  1.000000E-30  1.026783E-30  1.008420E-30  1.016342E-30  1.004840E-30  1.019970E-30
     72  1.610698967280E-03  1.004431E-30  1.027897E-30  1.000000E-30  1.027732E-30  1.008727E-30  1.016924E-30  1.005026E-30  1.020691E-30
     73  1.666314948699E-03  1.004588E-30  1.028858E-30  1.000000E-30  1.028687E-30  1.009036E-30  1.017511E-30  1.005214E-30  1.021417E-30
     74  1.722288445659E-03  1.004745E-30  1.029826E-30  1.000000E-30  1.029648E-30  1.009348E-30  1.018102E-30  1.005404E-30  1.022150E-30
     75  1.778618195039E-03  1.004904E-30  1.030799E-30  1.000000E-30  1.030615E-30  1.009662E-30  1.018696E-30  1.005596E-30  1.022887E-30
     76  1.835303663832E-03  1.005064E-30  1.031779E-30  1.000000E-30  1.031588E-30  1.009979E-30  1.019295E-30  1.005791E-30  1.023630E-30
     77  1.892344396716E-03  1.005225E-30  1.032765E-30  1.000000E-30  1.032567E-30  1.010298E-30  1.019897E-30  1.005988E-30  1.024379E-30
     78  1.949739812628E-03  1.005387E-30  1.033756E-30  1.000000E-30  1.033552E-30  1.010620E-30  1.020503E-30  1.006187E-30  1.025133E-30
     79  2.007489276907E-03  1.005551E-30  1.034754E-30  1.000000E-30  1.034543E-30  1.010944E-30  1.021113E-30  1.006388E-30  1.025892E-30
     80  2.065592139419E-03  1.005716E-30  1.035758E-30  1.000000E-30  1.035540E-30  1.011271E-30  1.021727E-30  1.006591E-30  1.026657E-30
     81  2.124047755162E-03  1.005882E-30  1.036767E-30  1.000000E-30  1.036542E-30  1.011600E-30  1.022345E-30  1.006797E-30  1.027427E-30
     82  2.182855495215E-03  1.006050E-30  1.037783E-30  1.000000E-30  1.037551E-30  1.011932E-30  1.022967E-30  1.007005E-30  1.028203E-30
     83  2.242014752368E-03  1.006218E-30  1.038804E-30  1.000000E-30  1.038565E-30  1.012267E-30  1.023593E-30  1.007215E-30  1.028985E-30
     84  2.301524943777E-03  1.006388E-30  1.039832E-30  1.000000E-30  1.039586E-30  1.012604E-30  1.024222E-30  1.007427E-30  1.029772E-30
     85  2.361385511936E-03  1.006559E-30  1.040865E-30  1.000000E-30  1.040612E-30  1.012944E-30  1.024856E-30  1.007642E-30  1.030564E-30
     86  2.421595924701E-03  1.006732E-30  1.041904E-30  1.000000E-30  1.041644E-30  1.013286E-30  1.025493E-30  1.007859E-30  1.031362E-30
     87  2.482155674804E-03  1.006905E-30  1.042949E-30  1.000000E-30  1.042682E-30  1.013631E-30  1.026134E-30  1.008079E-30  1.032165E-30
     88  2.543064279071E-03  1.007080E-30  1.044000E-30  1.000000E-30  1.043725E-30  1.013978E-30  1.026779E-30  1.008301E-30  1.032974E-30
     89  2.604321277494E-03  1.007257E-30  1.045057E-30  1.000000E-30  1.044775E-30  1.014328E-30  1.027428E-30  1.008525E-30  1.033789E-30
     90  2.665926232237E-03  1.007434E-30  1.046120E-30  1.000000E-30  1.045830E-30  1.014681E-30  1.028080E-30  1.008751E-30  1.034609E-30
     91  2.727878734382E-03  1.007613E-30  1.047189E-30  1.000000E-30  1.046891E-30  1.015036E-30  1.028737E-30  1.008980E-30  1.035434E-30
     92  2.790178404165E-03  1.007793E-30  1.048263E-30  1.000000E-30  1.047958E-30  1.015394E-30  1.029397E-30  1.009212E-30  1.036265E-30
     93  2.852824875480E-03  1.007974E-30  1.049343E-30  1.000000E-30  1.049031E-30  1.015755E-30  1.030061E-30  1.009446E-30  1.037102E-30
     94  2.915817796872E-03  1.008157E-30  1.050430E-30  1.000000E-30  1.050110E-30  1.016118E-30  1.030729E-30  1.009682E-30  1.037944E-30
