 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nd156         nd157         nd158         nd159         nd160         nd161         nd162         nd163
     75  1.778618195039E-03  1.008184E-30  1.007093E-30  1.001604E-30  1.010329E-30  1.011822E-30  1.018328E-30  1.023985E-30  1.026721E-30
     76  1.835303663832E-03  1.008444E-30  1.007319E-30  1.002540E-30  1.010658E-30  1.012199E-30  1.018911E-30  1.024748E-30  1.027580E-30
     77  1.892344396716E-03  1.008707E-30  1.007547E-30  1.003484E-30  1.010989E-30  1.012578E-30  1.019498E-30  1.025516E-30  1.028445E-30
     78  1.949739812628E-03  1.008971E-30  1.007775E-30  1.004437E-30  1.011323E-30  1.012959E-30  1.020089E-30  1.026288E-30  1.029315E-30
     79  2.007489276907E-03  1.009237E-30  1.008006E-30  1.005398E-30  1.011658E-30  1.013342E-30  1.020683E-30  1.027065E-30  1.030192E-30
     80  2.065592139419E-03  1.009504E-30  1.008237E-30  1.006367E-30  1.011995E-30  1.013728E-30  1.021281E-30  1.027847E-30  1.031075E-30
     81  2.124047755162E-03  1.009773E-30  1.008470E-30  1.007343E-30  1.012334E-30  1.014116E-30  1.021882E-30  1.028633E-30  1.031963E-30
     82  2.182855495215E-03  1.010043E-30  1.008705E-30  1.008326E-30  1.012675E-30  1.014506E-30  1.022487E-30  1.029424E-30  1.032857E-30
     83  2.242014752368E-03  1.010315E-30  1.008941E-30  1.009316E-30  1.013018E-30  1.014899E-30  1.023095E-30  1.030220E-30  1.033757E-30
     84  2.301524943777E-03  1.010589E-30  1.009178E-30  1.010312E-30  1.013364E-30  1.015294E-30  1.023707E-30  1.031020E-30  1.034663E-30
     85  2.361385511936E-03  1.010865E-30  1.009416E-30  1.011315E-30  1.013711E-30  1.015691E-30  1.024323E-30  1.031825E-30  1.035575E-30
     86  2.421595924701E-03  1.011142E-30  1.009656E-30  1.012323E-30  1.014060E-30  1.016090E-30  1.024942E-30  1.032634E-30  1.036493E-30
     87  2.482155674804E-03  1.011420E-30  1.009898E-30  1.013338E-30  1.014411E-30  1.016492E-30  1.025565E-30  1.033448E-30  1.037416E-30
     88  2.543064279071E-03  1.011700E-30  1.010141E-30  1.014358E-30  1.014765E-30  1.016896E-30  1.026191E-30  1.034267E-30  1.038346E-30
     89  2.604321277494E-03  1.011982E-30  1.010385E-30  1.015384E-30  1.015120E-30  1.017303E-30  1.026821E-30  1.035090E-30  1.039281E-30
     90  2.665926232237E-03  1.012265E-30  1.010630E-30  1.016415E-30  1.015477E-30  1.017711E-30  1.027454E-30  1.035918E-30  1.040222E-30
     91  2.727878734382E-03  1.012550E-30  1.010877E-30  1.017451E-30  1.015837E-30  1.018122E-30  1.028091E-30  1.036751E-30  1.041170E-30
     92  2.790178404165E-03  1.012837E-30  1.011126E-30  1.018492E-30  1.016198E-30  1.018535E-30  1.028731E-30  1.037588E-30  1.042123E-30
     93  2.852824875480E-03  1.013125E-30  1.011375E-30  1.019538E-30  1.016561E-30  1.018951E-30  1.029375E-30  1.038429E-30  1.043082E-30
     94  2.915817796872E-03  1.013415E-30  1.011626E-30  1.020588E-30  1.016927E-30  1.019368E-30  1.030022E-30  1.039276E-30  1.044046E-30
     95  2.979156831833E-03  1.013706E-30  1.011879E-30  1.021642E-30  1.017294E-30  1.019788E-30  1.030673E-30  1.040126E-30  1.045017E-30
