 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sn127         sn128         sn129         sn130         sn131         sn132         sn133         sn134
     68  1.391852718980E-03  1.000886E-30  1.001150E-30  1.001576E-30  1.003015E-30  1.003447E-30  1.004649E-30  1.005180E-30  1.005970E-30
     69  1.446014888479E-03  1.000920E-30  1.001194E-30  1.001637E-30  1.003133E-30  1.003582E-30  1.004830E-30  1.005381E-30  1.006202E-30
     70  1.500546342624E-03  1.000955E-30  1.001239E-30  1.001699E-30  1.003251E-30  1.003718E-30  1.005013E-30  1.005584E-30  1.006436E-30
     71  1.555442065896E-03  1.000990E-30  1.001285E-30  1.001761E-30  1.003370E-30  1.003854E-30  1.005197E-30  1.005789E-30  1.006671E-30
     72  1.610698967280E-03  1.001025E-30  1.001331E-30  1.001824E-30  1.003490E-30  1.003992E-30  1.005382E-30  1.005994E-30  1.006908E-30
     73  1.666314948699E-03  1.001061E-30  1.001377E-30  1.001887E-30  1.003611E-30  1.004131E-30  1.005568E-30  1.006201E-30  1.007146E-30
     74  1.722288445659E-03  1.001096E-30  1.001423E-30  1.001951E-30  1.003732E-30  1.004271E-30  1.005756E-30  1.006409E-30  1.007386E-30
     75  1.778618195039E-03  1.001132E-30  1.001469E-30  1.002014E-30  1.003854E-30  1.004411E-30  1.005945E-30  1.006619E-30  1.007627E-30
     76  1.835303663832E-03  1.001168E-30  1.001516E-30  1.002079E-30  1.003978E-30  1.004553E-30  1.006135E-30  1.006830E-30  1.007870E-30
     77  1.892344396716E-03  1.001205E-30  1.001564E-30  1.002143E-30  1.004101E-30  1.004695E-30  1.006327E-30  1.007042E-30  1.008115E-30
     78  1.949739812628E-03  1.001241E-30  1.001611E-30  1.002209E-30  1.004226E-30  1.004839E-30  1.006519E-30  1.007255E-30  1.008361E-30
     79  2.007489276907E-03  1.001278E-30  1.001659E-30  1.002274E-30  1.004352E-30  1.004983E-30  1.006713E-30  1.007470E-30  1.008608E-30
     80  2.065592139419E-03  1.001315E-30  1.001707E-30  1.002340E-30  1.004478E-30  1.005129E-30  1.006908E-30  1.007686E-30  1.008857E-30
     81  2.124047755162E-03  1.001352E-30  1.001755E-30  1.002406E-30  1.004605E-30  1.005275E-30  1.007104E-30  1.007904E-30  1.009108E-30
     82  2.182855495215E-03  1.001390E-30  1.001804E-30  1.002473E-30  1.004733E-30  1.005422E-30  1.007302E-30  1.008122E-30  1.009360E-30
     83  2.242014752368E-03  1.001428E-30  1.001853E-30  1.002540E-30  1.004861E-30  1.005571E-30  1.007501E-30  1.008342E-30  1.009613E-30
     84  2.301524943777E-03  1.001465E-30  1.001902E-30  1.002608E-30  1.004990E-30  1.005720E-30  1.007701E-30  1.008564E-30  1.009868E-30
     85  2.361385511936E-03  1.001504E-30  1.001952E-30  1.002676E-30  1.005121E-30  1.005870E-30  1.007902E-30  1.008786E-30  1.010125E-30
     86  2.421595924701E-03  1.001542E-30  1.002002E-30  1.002744E-30  1.005252E-30  1.006021E-30  1.008104E-30  1.009010E-30  1.010383E-30
     87  2.482155674804E-03  1.001581E-30  1.002052E-30  1.002813E-30  1.005383E-30  1.006173E-30  1.008308E-30  1.009235E-30  1.010642E-30
     88  2.543064279071E-03  1.001620E-30  1.002102E-30  1.002882E-30  1.005516E-30  1.006326E-30  1.008513E-30  1.009462E-30  1.010903E-30
     89  2.604321277494E-03  1.001659E-30  1.002153E-30  1.002951E-30  1.005649E-30  1.006480E-30  1.008719E-30  1.009689E-30  1.011165E-30
     90  2.665926232237E-03  1.001698E-30  1.002204E-30  1.003021E-30  1.005783E-30  1.006635E-30  1.008926E-30  1.009919E-30  1.011429E-30
     91  2.727878734382E-03  1.001737E-30  1.002256E-30  1.003092E-30  1.005918E-30  1.006791E-30  1.009135E-30  1.010149E-30  1.011695E-30
     92  2.790178404165E-03  1.001777E-30  1.002307E-30  1.003162E-30  1.006053E-30  1.006947E-30  1.009345E-30  1.010381E-30  1.011961E-30
     93  2.852824875480E-03  1.001817E-30  1.002359E-30  1.003234E-30  1.006190E-30  1.007105E-30  1.009556E-30  1.010613E-30  1.012230E-30
     94  2.915817796872E-03  1.001857E-30  1.002411E-30  1.003305E-30  1.006327E-30  1.007264E-30  1.009768E-30  1.010848E-30  1.012499E-30
     95  2.979156831833E-03  1.001898E-30  1.002464E-30  1.003377E-30  1.006465E-30  1.007423E-30  1.009981E-30  1.011083E-30  1.012771E-30
