 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sm174         sm175         sm176         sm177         sm178         sm179         sm180         sm181
     61  1.029744313280E-03  1.019433E-30  1.026798E-30  1.031851E-30  1.035222E-30  1.060795E-30  1.021782E-30  1.046507E-30  1.000280E-30
     62  1.076805333108E-03  1.020320E-30  1.028021E-30  1.033306E-30  1.036860E-30  1.063539E-30  1.022750E-30  1.048585E-30  1.000292E-30
     63  1.127478238084E-03  1.021275E-30  1.029337E-30  1.034872E-30  1.038625E-30  1.066490E-30  1.023790E-30  1.050816E-30  1.000306E-30
     64  1.179263354774E-03  1.022251E-30  1.030682E-30  1.036474E-30  1.040432E-30  1.069503E-30  1.024850E-30  1.053092E-30  1.000319E-30
     65  1.231720185468E-03  1.023239E-30  1.032044E-30  1.038096E-30  1.042266E-30  1.072552E-30  1.025921E-30  1.055393E-30  1.000333E-30
     66  1.284679788904E-03  1.024237E-30  1.033419E-30  1.039733E-30  1.044120E-30  1.075627E-30  1.026999E-30  1.057710E-30  1.000347E-30
     67  1.338068714676E-03  1.025243E-30  1.034805E-30  1.041384E-30  1.045993E-30  1.078723E-30  1.028083E-30  1.060041E-30  1.000360E-30
     68  1.391852718980E-03  1.026256E-30  1.036201E-30  1.043048E-30  1.047882E-30  1.081839E-30  1.029172E-30  1.062383E-30  1.000374E-30
     69  1.446014888479E-03  1.027276E-30  1.037607E-30  1.044723E-30  1.049788E-30  1.084973E-30  1.030266E-30  1.064737E-30  1.000388E-30
     70  1.500546342624E-03  1.028303E-30  1.039023E-30  1.046410E-30  1.051710E-30  1.088125E-30  1.031364E-30  1.067101E-30  1.000402E-30
     71  1.555442065896E-03  1.029337E-30  1.040447E-30  1.048108E-30  1.053648E-30  1.091295E-30  1.032466E-30  1.069475E-30  1.000416E-30
     72  1.610698967280E-03  1.030377E-30  1.041881E-30  1.049818E-30  1.055602E-30  1.094483E-30  1.033573E-30  1.071860E-30  1.000430E-30
     73  1.666314948699E-03  1.031424E-30  1.043324E-30  1.051539E-30  1.057572E-30  1.097688E-30  1.034683E-30  1.074254E-30  1.000444E-30
     74  1.722288445659E-03  1.032478E-30  1.044777E-30  1.053272E-30  1.059558E-30  1.100910E-30  1.035798E-30  1.076658E-30  1.000458E-30
     75  1.778618195039E-03  1.033539E-30  1.046238E-30  1.055015E-30  1.061561E-30  1.104149E-30  1.036916E-30  1.079072E-30  1.000472E-30
