 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                dy177         dy178         dy179         dy180         dy181         dy182         dy183         dy184
     65  1.231720185468E-03  1.006332E-30  1.006307E-30  1.007808E-30  1.010130E-30  1.011889E-30  1.027381E-30  1.015471E-30  1.012829E-30
     66  1.284679788904E-03  1.006604E-30  1.006578E-30  1.008143E-30  1.010565E-30  1.012404E-30  1.028556E-30  1.016137E-30  1.013381E-30
     67  1.338068714676E-03  1.006879E-30  1.006852E-30  1.008481E-30  1.011004E-30  1.012924E-30  1.029741E-30  1.016808E-30  1.013937E-30
     68  1.391852718980E-03  1.007155E-30  1.007127E-30  1.008822E-30  1.011446E-30  1.013447E-30  1.030933E-30  1.017484E-30  1.014498E-30
     69  1.446014888479E-03  1.007433E-30  1.007404E-30  1.009165E-30  1.011891E-30  1.013975E-30  1.032135E-30  1.018164E-30  1.015062E-30
     70  1.500546342624E-03  1.007713E-30  1.007683E-30  1.009511E-30  1.012339E-30  1.014506E-30  1.033344E-30  1.018850E-30  1.015630E-30
     71  1.555442065896E-03  1.007995E-30  1.007964E-30  1.009858E-30  1.012790E-30  1.015042E-30  1.034561E-30  1.019540E-30  1.016202E-30
     72  1.610698967280E-03  1.008279E-30  1.008246E-30  1.010208E-30  1.013244E-30  1.015581E-30  1.035785E-30  1.020234E-30  1.016778E-30
     73  1.666314948699E-03  1.008564E-30  1.008531E-30  1.010560E-30  1.013701E-30  1.016124E-30  1.037018E-30  1.020933E-30  1.017358E-30
     74  1.722288445659E-03  1.008852E-30  1.008817E-30  1.010915E-30  1.014160E-30  1.016671E-30  1.038258E-30  1.021637E-30  1.017941E-30
     75  1.778618195039E-03  1.009141E-30  1.009105E-30  1.011271E-30  1.014623E-30  1.017222E-30  1.039506E-30  1.022345E-30  1.018529E-30
     76  1.835303663832E-03  1.009432E-30  1.009395E-30  1.011630E-30  1.015089E-30  1.017777E-30  1.040762E-30  1.023058E-30  1.019120E-30
     77  1.892344396716E-03  1.009725E-30  1.009687E-30  1.011992E-30  1.015557E-30  1.018335E-30  1.042025E-30  1.023775E-30  1.019714E-30
     78  1.949739812628E-03  1.010020E-30  1.009980E-30  1.012355E-30  1.016029E-30  1.018898E-30  1.043296E-30  1.024496E-30  1.020313E-30
     79  2.007489276907E-03  1.010316E-30  1.010276E-30  1.012721E-30  1.016503E-30  1.019464E-30  1.044574E-30  1.025222E-30  1.020915E-30
     80  2.065592139419E-03  1.010614E-30  1.010573E-30  1.013088E-30  1.016980E-30  1.020034E-30  1.045860E-30  1.025953E-30  1.021521E-30
     81  2.124047755162E-03  1.010914E-30  1.010871E-30  1.013458E-30  1.017461E-30  1.020608E-30  1.047154E-30  1.026688E-30  1.022130E-30
     82  2.182855495215E-03  1.011216E-30  1.011172E-30  1.013831E-30  1.017944E-30  1.021186E-30  1.048455E-30  1.027428E-30  1.022743E-30
     83  2.242014752368E-03  1.011520E-30  1.011475E-30  1.014205E-30  1.018429E-30  1.021767E-30  1.049764E-30  1.028172E-30  1.023360E-30
     84  2.301524943777E-03  1.011825E-30  1.011779E-30  1.014582E-30  1.018918E-30  1.022353E-30  1.051080E-30  1.028920E-30  1.023981E-30
     85  2.361385511936E-03  1.012133E-30  1.012085E-30  1.014961E-30  1.019410E-30  1.022942E-30  1.052404E-30  1.029673E-30  1.024606E-30
     86  2.421595924701E-03  1.012441E-30  1.012392E-30  1.015342E-30  1.019904E-30  1.023535E-30  1.053735E-30  1.030430E-30  1.025234E-30
     87  2.482155674804E-03  1.012752E-30  1.012702E-30  1.015725E-30  1.020401E-30  1.024132E-30  1.055074E-30  1.031192E-30  1.025866E-30
     88  2.543064279071E-03  1.013065E-30  1.013013E-30  1.016111E-30  1.020902E-30  1.024733E-30  1.056420E-30  1.031958E-30  1.026501E-30
     89  2.604321277494E-03  1.013379E-30  1.013326E-30  1.016498E-30  1.021405E-30  1.025338E-30  1.057774E-30  1.032729E-30  1.027140E-30
     90  2.665926232237E-03  1.013695E-30  1.013641E-30  1.016888E-30  1.021910E-30  1.025947E-30  1.059135E-30  1.033504E-30  1.027783E-30
     91  2.727878734382E-03  1.014013E-30  1.013957E-30  1.017280E-30  1.022419E-30  1.026559E-30  1.060504E-30  1.034283E-30  1.028430E-30
     92  2.790178404165E-03  1.014332E-30  1.014276E-30  1.017674E-30  1.022931E-30  1.027176E-30  1.061880E-30  1.035067E-30  1.029080E-30
     93  2.852824875480E-03  1.014654E-30  1.014596E-30  1.018071E-30  1.023445E-30  1.027796E-30  1.063263E-30  1.035855E-30  1.029734E-30
     94  2.915817796872E-03  1.014977E-30  1.014918E-30  1.018469E-30  1.023962E-30  1.028420E-30  1.064654E-30  1.036648E-30  1.030392E-30
     95  2.979156831833E-03  1.015302E-30  1.015241E-30  1.018870E-30  1.024482E-30  1.029048E-30  1.066052E-30  1.037445E-30  1.031053E-30
