 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tl219         tl220         tl221         tl222         tl223         tl224         tl225         tl226
     63  1.127478238084E-03  1.006116E-30  1.001771E-30  1.001534E-30  1.003638E-30  1.004410E-30  1.002456E-30  1.003494E-30  1.005111E-30
     64  1.179263354774E-03  1.006397E-30  1.001852E-30  1.001605E-30  1.003806E-30  1.004613E-30  1.002569E-30  1.003655E-30  1.005347E-30
     65  1.231720185468E-03  1.006681E-30  1.001934E-30  1.001677E-30  1.003976E-30  1.004818E-30  1.002685E-30  1.003819E-30  1.005587E-30
     66  1.284679788904E-03  1.006968E-30  1.002017E-30  1.001749E-30  1.004147E-30  1.005026E-30  1.002801E-30  1.003984E-30  1.005828E-30
     67  1.338068714676E-03  1.007258E-30  1.002101E-30  1.001822E-30  1.004320E-30  1.005235E-30  1.002918E-30  1.004151E-30  1.006072E-30
     68  1.391852718980E-03  1.007549E-30  1.002185E-30  1.001896E-30  1.004495E-30  1.005446E-30  1.003037E-30  1.004320E-30  1.006318E-30
     69  1.446014888479E-03  1.007843E-30  1.002270E-30  1.001970E-30  1.004670E-30  1.005658E-30  1.003156E-30  1.004489E-30  1.006565E-30
     70  1.500546342624E-03  1.008138E-30  1.002356E-30  1.002045E-30  1.004847E-30  1.005872E-30  1.003276E-30  1.004660E-30  1.006815E-30
     71  1.555442065896E-03  1.008436E-30  1.002442E-30  1.002120E-30  1.005025E-30  1.006087E-30  1.003397E-30  1.004832E-30  1.007066E-30
     72  1.610698967280E-03  1.008735E-30  1.002529E-30  1.002196E-30  1.005204E-30  1.006304E-30  1.003519E-30  1.005005E-30  1.007319E-30
     73  1.666314948699E-03  1.009037E-30  1.002616E-30  1.002272E-30  1.005385E-30  1.006522E-30  1.003641E-30  1.005180E-30  1.007573E-30
     74  1.722288445659E-03  1.009340E-30  1.002704E-30  1.002349E-30  1.005567E-30  1.006742E-30  1.003765E-30  1.005356E-30  1.007830E-30
     75  1.778618195039E-03  1.009645E-30  1.002792E-30  1.002426E-30  1.005750E-30  1.006963E-30  1.003889E-30  1.005533E-30  1.008088E-30
     76  1.835303663832E-03  1.009953E-30  1.002881E-30  1.002504E-30  1.005934E-30  1.007185E-30  1.004014E-30  1.005711E-30  1.008348E-30
     77  1.892344396716E-03  1.010262E-30  1.002970E-30  1.002582E-30  1.006119E-30  1.007409E-30  1.004141E-30  1.005890E-30  1.008610E-30
