 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                rb94          rb95          rb96          rb97          rb98          rb99          rb100         rb101
     58  9.153304977871E-04  1.002767E-30  1.003885E-30  1.004820E-30  1.006338E-30  1.008223E-30  1.003301E-30  1.001252E-30  1.021162E-30
     59  9.510634923056E-04  1.002875E-30  1.004036E-30  1.005008E-30  1.006586E-30  1.008544E-30  1.003432E-30  1.001322E-30  1.022015E-30
     60  9.888739022907E-04  1.002990E-30  1.004197E-30  1.005208E-30  1.006847E-30  1.008883E-30  1.003571E-30  1.001397E-30  1.022920E-30
     61  1.029744313280E-03  1.003114E-30  1.004370E-30  1.005424E-30  1.007130E-30  1.009250E-30  1.003721E-30  1.001481E-30  1.023901E-30
     62  1.076805333108E-03  1.003257E-30  1.004570E-30  1.005673E-30  1.007456E-30  1.009673E-30  1.003895E-30  1.001580E-30  1.025034E-30
     63  1.127478238084E-03  1.003410E-30  1.004785E-30  1.005941E-30  1.007807E-30  1.010128E-30  1.004082E-30  1.001690E-30  1.026257E-30
     64  1.179263354774E-03  1.003568E-30  1.005005E-30  1.006215E-30  1.008166E-30  1.010593E-30  1.004273E-30  1.001805E-30  1.027512E-30
     65  1.231720185468E-03  1.003727E-30  1.005228E-30  1.006492E-30  1.008529E-30  1.011064E-30  1.004468E-30  1.001925E-30  1.028787E-30
     66  1.284679788904E-03  1.003888E-30  1.005453E-30  1.006772E-30  1.008896E-30  1.011539E-30  1.004665E-30  1.002050E-30  1.030078E-30
     67  1.338068714676E-03  1.004050E-30  1.005680E-30  1.007055E-30  1.009265E-30  1.012019E-30  1.004864E-30  1.002179E-30  1.031385E-30
     68  1.391852718980E-03  1.004214E-30  1.005908E-30  1.007340E-30  1.009638E-30  1.012502E-30  1.005064E-30  1.002313E-30  1.032705E-30
     69  1.446014888479E-03  1.004379E-30  1.006139E-30  1.007627E-30  1.010013E-30  1.012988E-30  1.005267E-30  1.002451E-30  1.034039E-30
     70  1.500546342624E-03  1.004545E-30  1.006370E-30  1.007916E-30  1.010390E-30  1.013477E-30  1.005472E-30  1.002594E-30  1.035387E-30
     71  1.555442065896E-03  1.004712E-30  1.006604E-30  1.008207E-30  1.010771E-30  1.013970E-30  1.005678E-30  1.002741E-30  1.036748E-30
     72  1.610698967280E-03  1.004880E-30  1.006838E-30  1.008500E-30  1.011153E-30  1.014466E-30  1.005886E-30  1.002893E-30  1.038123E-30
     73  1.666314948699E-03  1.005050E-30  1.007075E-30  1.008795E-30  1.011538E-30  1.014966E-30  1.006096E-30  1.003050E-30  1.039511E-30
     74  1.722288445659E-03  1.005220E-30  1.007313E-30  1.009092E-30  1.011926E-30  1.015468E-30  1.006308E-30  1.003211E-30  1.040913E-30
     75  1.778618195039E-03  1.005392E-30  1.007552E-30  1.009391E-30  1.012316E-30  1.015974E-30  1.006521E-30  1.003377E-30  1.042329E-30
     76  1.835303663832E-03  1.005565E-30  1.007793E-30  1.009692E-30  1.012708E-30  1.016482E-30  1.006737E-30  1.003548E-30  1.043758E-30
     77  1.892344396716E-03  1.005739E-30  1.008036E-30  1.009995E-30  1.013103E-30  1.016994E-30  1.006954E-30  1.003724E-30  1.045201E-30
     78  1.949739812628E-03  1.005914E-30  1.008280E-30  1.010300E-30  1.013501E-30  1.017510E-30  1.007174E-30  1.003906E-30  1.046657E-30
     79  2.007489276907E-03  1.006091E-30  1.008525E-30  1.010608E-30  1.013901E-30  1.018028E-30  1.007395E-30  1.004092E-30  1.048128E-30
     80  2.065592139419E-03  1.006268E-30  1.008772E-30  1.010917E-30  1.014303E-30  1.018550E-30  1.007618E-30  1.004283E-30  1.049612E-30
     81  2.124047755162E-03  1.006447E-30  1.009021E-30  1.011228E-30  1.014708E-30  1.019074E-30  1.007843E-30  1.004480E-30  1.051110E-30
     82  2.182855495215E-03  1.006627E-30  1.009271E-30  1.011541E-30  1.015115E-30  1.019602E-30  1.008070E-30  1.004681E-30  1.052623E-30
     83  2.242014752368E-03  1.006808E-30  1.009523E-30  1.011856E-30  1.015525E-30  1.020133E-30  1.008299E-30  1.004889E-30  1.054149E-30
     84  2.301524943777E-03  1.006990E-30  1.009776E-30  1.012173E-30  1.015937E-30  1.020667E-30  1.008530E-30  1.005101E-30  1.055689E-30
     85  2.361385511936E-03  1.007173E-30  1.010030E-30  1.012492E-30  1.016352E-30  1.021205E-30  1.008763E-30  1.005319E-30  1.057244E-30
     86  2.421595924701E-03  1.007358E-30  1.010287E-30  1.012813E-30  1.016769E-30  1.021745E-30  1.008998E-30  1.005543E-30  1.058813E-30
     87  2.482155674804E-03  1.007543E-30  1.010544E-30  1.013136E-30  1.017188E-30  1.022289E-30  1.009235E-30  1.005772E-30  1.060396E-30
     88  2.543064279071E-03  1.007730E-30  1.010803E-30  1.013461E-30  1.017610E-30  1.022836E-30  1.009474E-30  1.006007E-30  1.061993E-30
     89  2.604321277494E-03  1.007918E-30  1.011064E-30  1.013788E-30  1.018035E-30  1.023386E-30  1.009715E-30  1.006248E-30  1.063605E-30
     90  2.665926232237E-03  1.008107E-30  1.011326E-30  1.014117E-30  1.018461E-30  1.023939E-30  1.009958E-30  1.006494E-30  1.065231E-30
     91  2.727878734382E-03  1.008297E-30  1.011590E-30  1.014448E-30  1.018890E-30  1.024495E-30  1.010203E-30  1.006747E-30  1.066872E-30
     92  2.790178404165E-03  1.008488E-30  1.011855E-30  1.014781E-30  1.019322E-30  1.025054E-30  1.010450E-30  1.007005E-30  1.068527E-30
     93  2.852824875480E-03  1.008681E-30  1.012122E-30  1.015116E-30  1.019756E-30  1.025616E-30  1.010700E-30  1.007269E-30  1.070196E-30
     94  2.915817796872E-03  1.008874E-30  1.012390E-30  1.015453E-30  1.020192E-30  1.026182E-30  1.010951E-30  1.007540E-30  1.071881E-30
     95  2.979156831833E-03  1.009069E-30  1.012660E-30  1.015792E-30  1.020631E-30  1.026751E-30  1.011205E-30  1.007816E-30  1.073580E-30
