 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mn75          mn76          fe46          fe47          fe48          fe49          fe50          fe51 
     49  6.396318340541E-04  1.004932E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022789E-30  1.003762E-30  1.007287E-30  1.002884E-30
     50  6.678959636874E-04  1.005141E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023791E-30  1.003928E-30  1.007612E-30  1.003014E-30
     51  6.965161747902E-04  1.005352E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024805E-30  1.004095E-30  1.007942E-30  1.003146E-30
     52  7.255817382538E-04  1.005565E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025834E-30  1.004266E-30  1.008277E-30  1.003280E-30
     53  7.551843574001E-04  1.005781E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.026882E-30  1.004439E-30  1.008619E-30  1.003416E-30
     54  7.854224313090E-04  1.006002E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027952E-30  1.004616E-30  1.008968E-30  1.003556E-30
     55  8.164066374138E-04  1.006226E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.029047E-30  1.004797E-30  1.009326E-30  1.003700E-30
     56  8.482679080764E-04  1.006457E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.030173E-30  1.004984E-30  1.009695E-30  1.003847E-30
     57  8.811699017317E-04  1.006693E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.031335E-30  1.005176E-30  1.010076E-30  1.004000E-30
     58  9.153304977871E-04  1.006938E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.032542E-30  1.005376E-30  1.010472E-30  1.004159E-30
     59  9.510634923056E-04  1.007193E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.033802E-30  1.005585E-30  1.010886E-30  1.004326E-30
     60  9.888739022907E-04  1.007462E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.035136E-30  1.005806E-30  1.011326E-30  1.004503E-30
     61  1.029744313280E-03  1.007750E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036576E-30  1.006045E-30  1.011801E-30  1.004694E-30
     62  1.076805333108E-03  1.008081E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.038234E-30  1.006319E-30  1.012349E-30  1.004915E-30
     63  1.127478238084E-03  1.008435E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.040017E-30  1.006615E-30  1.012940E-30  1.005154E-30
     64  1.179263354774E-03  1.008794E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.041838E-30  1.006917E-30  1.013545E-30  1.005398E-30
     65  1.231720185468E-03  1.009156E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.043681E-30  1.007223E-30  1.014158E-30  1.005646E-30
     66  1.284679788904E-03  1.009518E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.045540E-30  1.007532E-30  1.014779E-30  1.005898E-30
     67  1.338068714676E-03  1.009881E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.047413E-30  1.007843E-30  1.015405E-30  1.006152E-30
     68  1.391852718980E-03  1.010245E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.049298E-30  1.008156E-30  1.016037E-30  1.006409E-30
     69  1.446014888479E-03  1.010608E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.051194E-30  1.008471E-30  1.016675E-30  1.006668E-30
     70  1.500546342624E-03  1.010971E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.053102E-30  1.008788E-30  1.017318E-30  1.006930E-30
     71  1.555442065896E-03  1.011335E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.055021E-30  1.009107E-30  1.017966E-30  1.007194E-30
     72  1.610698967280E-03  1.011698E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.056951E-30  1.009428E-30  1.018619E-30  1.007461E-30
     73  1.666314948699E-03  1.012061E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.058892E-30  1.009751E-30  1.019278E-30  1.007730E-30
     74  1.722288445659E-03  1.012423E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.060844E-30  1.010075E-30  1.019942E-30  1.008002E-30
     75  1.778618195039E-03  1.012786E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.062806E-30  1.010402E-30  1.020611E-30  1.008276E-30
     76  1.835303663832E-03  1.013148E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.064779E-30  1.010731E-30  1.021286E-30  1.008553E-30
     77  1.892344396716E-03  1.013510E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.066762E-30  1.011061E-30  1.021966E-30  1.008832E-30
     78  1.949739812628E-03  1.013871E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.068756E-30  1.011393E-30  1.022651E-30  1.009114E-30
     79  2.007489276907E-03  1.014232E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.070761E-30  1.011727E-30  1.023342E-30  1.009399E-30
     80  2.065592139419E-03  1.014592E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.072775E-30  1.012063E-30  1.024038E-30  1.009686E-30
     81  2.124047755162E-03  1.014952E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.074801E-30  1.012401E-30  1.024739E-30  1.009976E-30
     82  2.182855495215E-03  1.015312E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.076836E-30  1.012741E-30  1.025446E-30  1.010268E-30
     83  2.242014752368E-03  1.015671E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.078882E-30  1.013082E-30  1.026158E-30  1.010563E-30
     84  2.301524943777E-03  1.016030E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.080938E-30  1.013425E-30  1.026875E-30  1.010860E-30
     85  2.361385511936E-03  1.016387E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.083004E-30  1.013771E-30  1.027598E-30  1.011160E-30
     86  2.421595924701E-03  1.016745E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.085081E-30  1.014118E-30  1.028326E-30  1.011463E-30
     87  2.482155674804E-03  1.017101E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.087167E-30  1.014466E-30  1.029060E-30  1.011769E-30
     88  2.543064279071E-03  1.017457E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.089264E-30  1.014817E-30  1.029799E-30  1.012077E-30
     89  2.604321277494E-03  1.017812E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.091370E-30  1.015169E-30  1.030544E-30  1.012388E-30
     90  2.665926232237E-03  1.018167E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.093486E-30  1.015523E-30  1.031294E-30  1.012702E-30
     91  2.727878734382E-03  1.018520E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.095612E-30  1.015879E-30  1.032049E-30  1.013018E-30
     92  2.790178404165E-03  1.018873E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.097748E-30  1.016237E-30  1.032811E-30  1.013337E-30
     93  2.852824875480E-03  1.019225E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.099894E-30  1.016596E-30  1.033577E-30  1.013659E-30
     94  2.915817796872E-03  1.019576E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.102050E-30  1.016957E-30  1.034349E-30  1.013983E-30
     95  2.979156831833E-03  1.019926E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.104215E-30  1.017320E-30  1.035127E-30  1.014310E-30
