 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ca49          ca50          ca51          ca52          ca53          ca54          ca55          ca56 
     64  1.179263354774E-03  1.000651E-30  1.001688E-30  1.002194E-30  1.007894E-30  1.021383E-30  1.000697E-30  1.154410E-30  1.156176E-30
     65  1.231720185468E-03  1.000680E-30  1.001764E-30  1.002293E-30  1.008258E-30  1.022482E-30  1.000726E-30  1.161029E-30  1.162831E-30
     66  1.284679788904E-03  1.000710E-30  1.001840E-30  1.002394E-30  1.008627E-30  1.023604E-30  1.000748E-30  1.167690E-30  1.169525E-30
     67  1.338068714676E-03  1.000739E-30  1.001918E-30  1.002495E-30  1.009000E-30  1.024747E-30  1.000766E-30  1.174385E-30  1.176249E-30
     68  1.391852718980E-03  1.000769E-30  1.001995E-30  1.002597E-30  1.009377E-30  1.025912E-30  1.000783E-30  1.181107E-30  1.182997E-30
     69  1.446014888479E-03  1.000799E-30  1.002074E-30  1.002701E-30  1.009758E-30  1.027099E-30  1.000799E-30  1.187855E-30  1.189767E-30
     70  1.500546342624E-03  1.000830E-30  1.002153E-30  1.002805E-30  1.010143E-30  1.028307E-30  1.000814E-30  1.194626E-30  1.196558E-30
     71  1.555442065896E-03  1.000860E-30  1.002233E-30  1.002910E-30  1.010532E-30  1.029536E-30  1.000829E-30  1.201421E-30  1.203369E-30
     72  1.610698967280E-03  1.000891E-30  1.002313E-30  1.003015E-30  1.010924E-30  1.030787E-30  1.000844E-30  1.208238E-30  1.210198E-30
     73  1.666314948699E-03  1.000922E-30  1.002394E-30  1.003122E-30  1.011320E-30  1.032060E-30  1.000858E-30  1.215076E-30  1.217045E-30
     74  1.722288445659E-03  1.000953E-30  1.002476E-30  1.003229E-30  1.011720E-30  1.033355E-30  1.000873E-30  1.221936E-30  1.223910E-30
     75  1.778618195039E-03  1.000985E-30  1.002558E-30  1.003338E-30  1.012124E-30  1.034672E-30  1.000887E-30  1.228816E-30  1.230791E-30
     76  1.835303663832E-03  1.001017E-30  1.002641E-30  1.003447E-30  1.012532E-30  1.036012E-30  1.000900E-30  1.235716E-30  1.237689E-30
     77  1.892344396716E-03  1.001048E-30  1.002724E-30  1.003557E-30  1.012943E-30  1.037374E-30  1.000914E-30  1.242636E-30  1.244602E-30
     78  1.949739812628E-03  1.001081E-30  1.002808E-30  1.003668E-30  1.013359E-30  1.038760E-30  1.000927E-30  1.249575E-30  1.251532E-30
     79  2.007489276907E-03  1.001113E-30  1.002893E-30  1.003780E-30  1.013778E-30  1.040168E-30  1.000941E-30  1.256533E-30  1.258476E-30
     80  2.065592139419E-03  1.001145E-30  1.002978E-30  1.003893E-30  1.014202E-30  1.041600E-30  1.000953E-30  1.263510E-30  1.265434E-30
     81  2.124047755162E-03  1.001178E-30  1.003063E-30  1.004006E-30  1.014629E-30  1.043056E-30  1.000966E-30  1.270504E-30  1.272407E-30
     82  2.182855495215E-03  1.001211E-30  1.003150E-30  1.004121E-30  1.015060E-30  1.044535E-30  1.000978E-30  1.277516E-30  1.279393E-30
     83  2.242014752368E-03  1.001244E-30  1.003237E-30  1.004236E-30  1.015495E-30  1.046039E-30  1.000991E-30  1.284545E-30  1.286392E-30
