 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ne19          ne20          ne21          ne22          ne23          ne24          ne25          ne26 
     64  1.179263354774E-03  1.000000E-30  1.001583E-30  1.000548E-30  2.087412E-29  1.000345E-30  1.002039E-30  1.014980E-30  1.080717E-30
     65  1.231720185468E-03  1.000000E-30  1.001654E-30  1.000572E-30  2.175817E-29  1.000360E-30  1.002130E-30  1.015646E-30  1.084299E-30
     66  1.284679788904E-03  1.000000E-30  1.001726E-30  1.000597E-30  2.265070E-29  1.000375E-30  1.002222E-30  1.016318E-30  1.087916E-30
     67  1.338068714676E-03  1.000000E-30  1.001798E-30  1.000621E-30  2.355046E-29  1.000391E-30  1.002314E-30  1.016996E-30  1.091560E-30
     68  1.391852718980E-03  1.000000E-30  1.001870E-30  1.000646E-30  2.445688E-29  1.000407E-30  1.002407E-30  1.017678E-30  1.095231E-30
     69  1.446014888479E-03  1.000000E-30  1.001943E-30  1.000672E-30  2.536968E-29  1.000423E-30  1.002501E-30  1.018366E-30  1.098928E-30
     70  1.500546342624E-03  1.000000E-30  1.002017E-30  1.000697E-30  2.628870E-29  1.000438E-30  1.002595E-30  1.019058E-30  1.102648E-30
     71  1.555442065896E-03  1.000000E-30  1.002091E-30  1.000722E-30  2.721385E-29  1.000455E-30  1.002690E-30  1.019754E-30  1.106393E-30
     72  1.610698967280E-03  1.000000E-30  1.002166E-30  1.000748E-30  2.814510E-29  1.000471E-30  1.002786E-30  1.020455E-30  1.110162E-30
     73  1.666314948699E-03  1.000000E-30  1.002241E-30  1.000774E-30  2.908239E-29  1.000487E-30  1.002882E-30  1.021161E-30  1.113954E-30
     74  1.722288445659E-03  1.000000E-30  1.002317E-30  1.000800E-30  3.002571E-29  1.000503E-30  1.002979E-30  1.021871E-30  1.117770E-30
     75  1.778618195039E-03  1.000000E-30  1.002393E-30  1.000826E-30  3.097504E-29  1.000520E-30  1.003076E-30  1.022586E-30  1.121609E-30
     76  1.835303663832E-03  1.000000E-30  1.002470E-30  1.000853E-30  3.193036E-29  1.000536E-30  1.003174E-30  1.023305E-30  1.125472E-30
     77  1.892344396716E-03  1.000000E-30  1.002547E-30  1.000879E-30  3.289167E-29  1.000553E-30  1.003273E-30  1.024028E-30  1.129359E-30
     78  1.949739812628E-03  1.000000E-30  1.002625E-30  1.000906E-30  3.385895E-29  1.000570E-30  1.003372E-30  1.024756E-30  1.133268E-30
     79  2.007489276907E-03  1.000000E-30  1.002703E-30  1.000933E-30  3.483220E-29  1.000587E-30  1.003472E-30  1.025489E-30  1.137201E-30
     80  2.065592139419E-03  1.000000E-30  1.002782E-30  1.000960E-30  3.581141E-29  1.000604E-30  1.003572E-30  1.026226E-30  1.141158E-30
     81  2.124047755162E-03  1.000000E-30  1.002861E-30  1.000987E-30  3.679656E-29  1.000621E-30  1.003673E-30  1.026967E-30  1.145137E-30
     82  2.182855495215E-03  1.000000E-30  1.002941E-30  1.001014E-30  3.778765E-29  1.000638E-30  1.003775E-30  1.027713E-30  1.149140E-30
     83  2.242014752368E-03  1.000000E-30  1.003021E-30  1.001042E-30  3.878466E-29  1.000655E-30  1.003877E-30  1.028463E-30  1.153165E-30
     84  2.301524943777E-03  1.000000E-30  1.003102E-30  1.001070E-30  3.978758E-29  1.000673E-30  1.003980E-30  1.029217E-30  1.157214E-30
     85  2.361385511936E-03  1.000000E-30  1.003183E-30  1.001097E-30  4.079641E-29  1.000690E-30  1.004084E-30  1.029976E-30  1.161285E-30
     86  2.421595924701E-03  1.000000E-30  1.003265E-30  1.001125E-30  4.181114E-29  1.000708E-30  1.004188E-30  1.030739E-30  1.165380E-30
     87  2.482155674804E-03  1.000000E-30  1.003347E-30  1.001154E-30  4.283175E-29  1.000725E-30  1.004293E-30  1.031507E-30  1.169497E-30
     88  2.543064279071E-03  1.000000E-30  1.003430E-30  1.001182E-30  4.385824E-29  1.000743E-30  1.004398E-30  1.032279E-30  1.173637E-30
     89  2.604321277494E-03  1.000000E-30  1.003514E-30  1.001210E-30  4.489061E-29  1.000761E-30  1.004504E-30  1.033055E-30  1.177800E-30
     90  2.665926232237E-03  1.000000E-30  1.003597E-30  1.001239E-30  4.592883E-29  1.000779E-30  1.004611E-30  1.033836E-30  1.181986E-30
     91  2.727878734382E-03  1.000000E-30  1.003682E-30  1.001268E-30  4.697292E-29  1.000797E-30  1.004718E-30  1.034621E-30  1.186194E-30
     92  2.790178404165E-03  1.000000E-30  1.003767E-30  1.001297E-30  4.802285E-29  1.000815E-30  1.004825E-30  1.035411E-30  1.190425E-30
     93  2.852824875480E-03  1.000000E-30  1.003852E-30  1.001326E-30  4.907864E-29  1.000834E-30  1.004934E-30  1.036204E-30  1.194679E-30
     94  2.915817796872E-03  1.000000E-30  1.003938E-30  1.001355E-30  5.014025E-29  1.000852E-30  1.005043E-30  1.037002E-30  1.198955E-30
     95  2.979156831833E-03  1.000000E-30  1.004024E-30  1.001385E-30  5.120771E-29  1.000871E-30  1.005152E-30  1.037805E-30  1.203253E-30
