 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pm171         pm172         pm173         pm174         pm175         pm176         pm177         pm178
     41  4.138876583201E-04  1.004766E-30  1.000330E-30  1.000000E-30  1.001932E-30  1.001875E-30  1.003141E-30  1.013553E-30  1.000000E-30
     42  4.432651277490E-04  1.005108E-30  1.000356E-30  1.000000E-30  1.002076E-30  1.002018E-30  1.003382E-30  1.014519E-30  1.000000E-30
     43  4.720041568584E-04  1.005443E-30  1.000382E-30  1.000000E-30  1.002217E-30  1.002159E-30  1.003620E-30  1.015464E-30  1.000000E-30
     44  5.002792532552E-04  1.005774E-30  1.000408E-30  1.000000E-30  1.002357E-30  1.002299E-30  1.003856E-30  1.016395E-30  1.000003E-30
     45  5.282472522620E-04  1.006101E-30  1.000434E-30  1.000000E-30  1.002496E-30  1.002439E-30  1.004091E-30  1.017315E-30  1.000009E-30
     46  5.560479783168E-04  1.006427E-30  1.000461E-30  1.000000E-30  1.002635E-30  1.002579E-30  1.004328E-30  1.018231E-30  1.000017E-30
     47  5.838060709037E-04  1.006753E-30  1.000487E-30  1.000000E-30  1.002775E-30  1.002721E-30  1.004565E-30  1.019146E-30  1.000029E-30
     48  6.116334118686E-04  1.007080E-30  1.000514E-30  1.000000E-30  1.002915E-30  1.002864E-30  1.004806E-30  1.020063E-30  1.000043E-30
     49  6.396318340541E-04  1.007409E-30  1.000542E-30  1.000000E-30  1.003058E-30  1.003008E-30  1.005050E-30  1.020986E-30  1.000060E-30
     50  6.678959636874E-04  1.007742E-30  1.000570E-30  1.000000E-30  1.003202E-30  1.003156E-30  1.005299E-30  1.021919E-30  1.000081E-30
     51  6.965161747902E-04  1.008080E-30  1.000599E-30  1.000000E-30  1.003349E-30  1.003307E-30  1.005552E-30  1.022863E-30  1.000104E-30
     52  7.255817382538E-04  1.008424E-30  1.000628E-30  1.000000E-30  1.003500E-30  1.003461E-30  1.005812E-30  1.023823E-30  1.000132E-30
     53  7.551843574001E-04  1.008774E-30  1.000659E-30  1.000000E-30  1.003653E-30  1.003620E-30  1.006079E-30  1.024801E-30  1.000162E-30
     54  7.854224313090E-04  1.009133E-30  1.000690E-30  1.000000E-30  1.003811E-30  1.003783E-30  1.006354E-30  1.025800E-30  1.000197E-30
     55  8.164066374138E-04  1.009501E-30  1.000723E-30  1.000000E-30  1.003974E-30  1.003952E-30  1.006638E-30  1.026824E-30  1.000236E-30
     56  8.482679080764E-04  1.009880E-30  1.000758E-30  1.000000E-30  1.004143E-30  1.004127E-30  1.006933E-30  1.027878E-30  1.000280E-30
     57  8.811699017317E-04  1.010272E-30  1.000793E-30  1.000000E-30  1.004318E-30  1.004310E-30  1.007241E-30  1.028967E-30  1.000329E-30
     58  9.153304977871E-04  1.010680E-30  1.000831E-30  1.000000E-30  1.004501E-30  1.004501E-30  1.007563E-30  1.030098E-30  1.000384E-30
