 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                se94          se95          se96          se97          se98          se99          se100         se101
     59  9.510634923056E-04  1.023464E-30  1.011344E-30  1.020956E-30  1.030789E-30  1.045485E-30  1.034545E-30  1.064320E-30  1.000000E-30
     60  9.888739022907E-04  1.024398E-30  1.011809E-30  1.021780E-30  1.031996E-30  1.047259E-30  1.035858E-30  1.066771E-30  1.000000E-30
     61  1.029744313280E-03  1.025408E-30  1.012313E-30  1.022671E-30  1.033300E-30  1.049173E-30  1.037272E-30  1.069411E-30  1.000000E-30
     62  1.076805333108E-03  1.026571E-30  1.012895E-30  1.023695E-30  1.034799E-30  1.051373E-30  1.038895E-30  1.072439E-30  1.000000E-30
     63  1.127478238084E-03  1.027824E-30  1.013523E-30  1.024797E-30  1.036411E-30  1.053738E-30  1.040634E-30  1.075687E-30  1.000000E-30
     64  1.179263354774E-03  1.029105E-30  1.014166E-30  1.025922E-30  1.038056E-30  1.056149E-30  1.042402E-30  1.078991E-30  1.000000E-30
     65  1.231720185468E-03  1.030402E-30  1.014820E-30  1.027060E-30  1.039720E-30  1.058587E-30  1.044186E-30  1.082323E-30  1.000000E-30
     66  1.284679788904E-03  1.031712E-30  1.015482E-30  1.028208E-30  1.041398E-30  1.061043E-30  1.045978E-30  1.085672E-30  1.000000E-30
     67  1.338068714676E-03  1.033033E-30  1.016152E-30  1.029363E-30  1.043087E-30  1.063514E-30  1.047776E-30  1.089033E-30  1.000000E-30
     68  1.391852718980E-03  1.034364E-30  1.016829E-30  1.030526E-30  1.044785E-30  1.065998E-30  1.049578E-30  1.092403E-30  1.000000E-30
     69  1.446014888479E-03  1.035704E-30  1.017512E-30  1.031696E-30  1.046494E-30  1.068495E-30  1.051385E-30  1.095781E-30  1.000000E-30
     70  1.500546342624E-03  1.037054E-30  1.018202E-30  1.032873E-30  1.048211E-30  1.071002E-30  1.053194E-30  1.099167E-30  1.000000E-30
     71  1.555442065896E-03  1.038413E-30  1.018899E-30  1.034056E-30  1.049937E-30  1.073522E-30  1.055007E-30  1.102559E-30  1.000000E-30
     72  1.610698967280E-03  1.039781E-30  1.019603E-30  1.035245E-30  1.051671E-30  1.076052E-30  1.056823E-30  1.105957E-30  1.000000E-30
     73  1.666314948699E-03  1.041158E-30  1.020313E-30  1.036441E-30  1.053415E-30  1.078593E-30  1.058641E-30  1.109362E-30  1.000000E-30
     74  1.722288445659E-03  1.042544E-30  1.021031E-30  1.037643E-30  1.055167E-30  1.081145E-30  1.060462E-30  1.112771E-30  1.000000E-30
     75  1.778618195039E-03  1.043939E-30  1.021754E-30  1.038851E-30  1.056927E-30  1.083708E-30  1.062286E-30  1.116187E-30  1.000000E-30
     76  1.835303663832E-03  1.045344E-30  1.022485E-30  1.040065E-30  1.058695E-30  1.086281E-30  1.064111E-30  1.119607E-30  1.000000E-30
     77  1.892344396716E-03  1.046757E-30  1.023222E-30  1.041286E-30  1.060472E-30  1.088864E-30  1.065939E-30  1.123032E-30  1.000000E-30
     78  1.949739812628E-03  1.048179E-30  1.023967E-30  1.042513E-30  1.062257E-30  1.091458E-30  1.067768E-30  1.126461E-30  1.000000E-30
     79  2.007489276907E-03  1.049611E-30  1.024718E-30  1.043745E-30  1.064051E-30  1.094062E-30  1.069599E-30  1.129895E-30  1.000000E-30
     80  2.065592139419E-03  1.051051E-30  1.025476E-30  1.044984E-30  1.065852E-30  1.096676E-30  1.071432E-30  1.133333E-30  1.000000E-30
     81  2.124047755162E-03  1.052500E-30  1.026241E-30  1.046229E-30  1.067661E-30  1.099299E-30  1.073266E-30  1.136774E-30  1.000000E-30
     82  2.182855495215E-03  1.053959E-30  1.027013E-30  1.047480E-30  1.069478E-30  1.101933E-30  1.075102E-30  1.140219E-30  1.000000E-30
     83  2.242014752368E-03  1.055426E-30  1.027791E-30  1.048736E-30  1.071304E-30  1.104576E-30  1.076939E-30  1.143666E-30  1.000000E-30
     84  2.301524943777E-03  1.056902E-30  1.028577E-30  1.049999E-30  1.073137E-30  1.107228E-30  1.078777E-30  1.147117E-30  1.000000E-30
     85  2.361385511936E-03  1.058387E-30  1.029370E-30  1.051267E-30  1.074977E-30  1.109890E-30  1.080615E-30  1.150571E-30  1.000000E-30
     86  2.421595924701E-03  1.059880E-30  1.030170E-30  1.052541E-30  1.076826E-30  1.112561E-30  1.082455E-30  1.154026E-30  1.000000E-30
     87  2.482155674804E-03  1.061383E-30  1.030977E-30  1.053821E-30  1.078682E-30  1.115242E-30  1.084295E-30  1.157484E-30  1.000000E-30
     88  2.543064279071E-03  1.062895E-30  1.031790E-30  1.055107E-30  1.080545E-30  1.117931E-30  1.086135E-30  1.160944E-30  1.000000E-30
     89  2.604321277494E-03  1.064415E-30  1.032611E-30  1.056398E-30  1.082416E-30  1.120630E-30  1.087976E-30  1.164406E-30  1.000000E-30
     90  2.665926232237E-03  1.065944E-30  1.033440E-30  1.057695E-30  1.084295E-30  1.123337E-30  1.089817E-30  1.167869E-30  1.000000E-30
     91  2.727878734382E-03  1.067483E-30  1.034275E-30  1.058998E-30  1.086180E-30  1.126052E-30  1.091659E-30  1.171333E-30  1.000000E-30
     92  2.790178404165E-03  1.069030E-30  1.035117E-30  1.060306E-30  1.088074E-30  1.128777E-30  1.093500E-30  1.174798E-30  1.000000E-30
     93  2.852824875480E-03  1.070585E-30  1.035967E-30  1.061619E-30  1.089974E-30  1.131510E-30  1.095341E-30  1.178264E-30  1.000000E-30
     94  2.915817796872E-03  1.072150E-30  1.036824E-30  1.062939E-30  1.091882E-30  1.134251E-30  1.097182E-30  1.181730E-30  1.000000E-30
     95  2.979156831833E-03  1.073723E-30  1.037688E-30  1.064263E-30  1.093796E-30  1.137000E-30  1.099022E-30  1.185197E-30  1.000000E-30
