 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                as100         se63          se64          se65          se66          se67          se68          se69 
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.025078E-30  1.018386E-30  1.016176E-30  1.027241E-30  1.005370E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.025959E-30  1.019028E-30  1.016749E-30  1.028208E-30  1.005564E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.026845E-30  1.019674E-30  1.017324E-30  1.029182E-30  1.005759E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.027736E-30  1.020323E-30  1.017904E-30  1.030163E-30  1.005955E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.028632E-30  1.020975E-30  1.018486E-30  1.031149E-30  1.006153E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.029533E-30  1.021631E-30  1.019073E-30  1.032142E-30  1.006352E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.030439E-30  1.022290E-30  1.019663E-30  1.033141E-30  1.006553E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.031350E-30  1.022952E-30  1.020256E-30  1.034146E-30  1.006755E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.032265E-30  1.023618E-30  1.020853E-30  1.035157E-30  1.006959E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.033186E-30  1.024286E-30  1.021453E-30  1.036175E-30  1.007164E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.034111E-30  1.024958E-30  1.022057E-30  1.037199E-30  1.007371E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.035041E-30  1.025634E-30  1.022664E-30  1.038229E-30  1.007579E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.035976E-30  1.026312E-30  1.023275E-30  1.039265E-30  1.007788E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.036916E-30  1.026994E-30  1.023889E-30  1.040307E-30  1.007999E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.037861E-30  1.027679E-30  1.024506E-30  1.041355E-30  1.008212E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.038810E-30  1.028367E-30  1.025127E-30  1.042410E-30  1.008426E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.039764E-30  1.029058E-30  1.025752E-30  1.043470E-30  1.008641E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.040723E-30  1.029752E-30  1.026379E-30  1.044537E-30  1.008858E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.041686E-30  1.030449E-30  1.027011E-30  1.045610E-30  1.009076E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.042654E-30  1.031150E-30  1.027645E-30  1.046688E-30  1.009296E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.043626E-30  1.031853E-30  1.028283E-30  1.047773E-30  1.009517E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.044604E-30  1.032559E-30  1.028924E-30  1.048864E-30  1.009740E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.045585E-30  1.033269E-30  1.029569E-30  1.049961E-30  1.009964E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.046572E-30  1.033981E-30  1.030217E-30  1.051065E-30  1.010190E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.047563E-30  1.034696E-30  1.030868E-30  1.052174E-30  1.010417E-30
