 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tc125         tc126         ru86          ru87          ru88          ru89          ru90          ru91 
     53  7.551843574001E-04  1.002033E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006174E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.002112E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006421E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.002193E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006674E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.002275E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006934E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.002361E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007203E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.002449E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007483E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.002541E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007775E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.002639E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008084E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.002743E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008418E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.002864E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008802E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.002993E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009216E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.003124E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009640E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.003257E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010068E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.003390E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010501E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.003524E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010937E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.003658E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011377E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.003793E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011819E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.003928E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012265E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.004063E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012713E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.004199E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013165E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.004335E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.013619E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.004471E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014077E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.004608E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.014537E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.004745E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.004882E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015466E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.005019E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.015935E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.005157E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016407E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.005295E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016881E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.005433E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017359E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.005571E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017839E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.005710E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018322E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.005848E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018808E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.005987E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019297E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.006126E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019789E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.006266E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020284E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.006405E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020781E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.006545E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021281E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.006684E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021784E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.006824E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022290E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.006964E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022799E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.007104E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023311E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.007244E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023825E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.007384E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024342E-30  1.000000E-30  1.000000E-30
