 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cs155         cs156         cs157         cs158         cs159         cs160         cs161         cs162
     47  5.838060709037E-04  1.005965E-30  1.014166E-30  1.014349E-30  1.018830E-30  1.027907E-30  1.007839E-30  1.013020E-30  1.000000E-30
     48  6.116334118686E-04  1.006261E-30  1.014858E-30  1.015062E-30  1.019776E-30  1.029214E-30  1.008203E-30  1.013625E-30  1.000000E-30
     49  6.396318340541E-04  1.006560E-30  1.015556E-30  1.015782E-30  1.020733E-30  1.030528E-30  1.008568E-30  1.014233E-30  1.000000E-30
     50  6.678959636874E-04  1.006863E-30  1.016261E-30  1.016512E-30  1.021703E-30  1.031852E-30  1.008935E-30  1.014845E-30  1.000000E-30
     51  6.965161747902E-04  1.007170E-30  1.016978E-30  1.017253E-30  1.022690E-30  1.033190E-30  1.009307E-30  1.015464E-30  1.000000E-30
     52  7.255817382538E-04  1.007484E-30  1.017707E-30  1.018008E-30  1.023697E-30  1.034547E-30  1.009683E-30  1.016090E-30  1.000000E-30
     53  7.551843574001E-04  1.007804E-30  1.018451E-30  1.018781E-30  1.024727E-30  1.035927E-30  1.010065E-30  1.016727E-30  1.000000E-30
     54  7.854224313090E-04  1.008133E-30  1.019212E-30  1.019573E-30  1.025785E-30  1.037334E-30  1.010454E-30  1.017376E-30  1.000000E-30
     55  8.164066374138E-04  1.008471E-30  1.019995E-30  1.020388E-30  1.026874E-30  1.038773E-30  1.010852E-30  1.018039E-30  1.000000E-30
     56  8.482679080764E-04  1.008820E-30  1.020801E-30  1.021229E-30  1.027999E-30  1.040251E-30  1.011260E-30  1.018719E-30  1.000000E-30
     57  8.811699017317E-04  1.009182E-30  1.021636E-30  1.022100E-30  1.029166E-30  1.041774E-30  1.011680E-30  1.019420E-30  1.000000E-30
     58  9.153304977871E-04  1.009559E-30  1.022505E-30  1.023009E-30  1.030384E-30  1.043352E-30  1.012115E-30  1.020145E-30  1.000000E-30
     59  9.510634923056E-04  1.009955E-30  1.023416E-30  1.023964E-30  1.031665E-30  1.044999E-30  1.012568E-30  1.020902E-30  1.000000E-30
     60  9.888739022907E-04  1.010376E-30  1.024382E-30  1.024979E-30  1.033028E-30  1.046739E-30  1.013047E-30  1.021700E-30  1.000000E-30
     61  1.029744313280E-03  1.010833E-30  1.025430E-30  1.026081E-30  1.034510E-30  1.048616E-30  1.013562E-30  1.022560E-30  1.000000E-30
     62  1.076805333108E-03  1.011362E-30  1.026641E-30  1.027357E-30  1.036228E-30  1.050771E-30  1.014153E-30  1.023547E-30  1.000000E-30
     63  1.127478238084E-03  1.011935E-30  1.027949E-30  1.028738E-30  1.038090E-30  1.053085E-30  1.014787E-30  1.024605E-30  1.000000E-30
     64  1.179263354774E-03  1.012524E-30  1.029290E-30  1.030158E-30  1.040006E-30  1.055444E-30  1.015431E-30  1.025683E-30  1.000000E-30
     65  1.231720185468E-03  1.013124E-30  1.030654E-30  1.031605E-30  1.041962E-30  1.057826E-30  1.016081E-30  1.026769E-30  1.000000E-30
     66  1.284679788904E-03  1.013734E-30  1.032037E-30  1.033075E-30  1.043951E-30  1.060224E-30  1.016734E-30  1.027862E-30  1.000000E-30
     67  1.338068714676E-03  1.014352E-30  1.033435E-30  1.034566E-30  1.045970E-30  1.062634E-30  1.017390E-30  1.028958E-30  1.000000E-30
     68  1.391852718980E-03  1.014979E-30  1.034849E-30  1.036076E-30  1.048019E-30  1.065054E-30  1.018047E-30  1.030058E-30  1.000000E-30
     69  1.446014888479E-03  1.015614E-30  1.036278E-30  1.037606E-30  1.050097E-30  1.067484E-30  1.018706E-30  1.031161E-30  1.000000E-30
     70  1.500546342624E-03  1.016257E-30  1.037723E-30  1.039155E-30  1.052204E-30  1.069924E-30  1.019366E-30  1.032267E-30  1.000000E-30
     71  1.555442065896E-03  1.016908E-30  1.039182E-30  1.040724E-30  1.054340E-30  1.072372E-30  1.020027E-30  1.033375E-30  1.000000E-30
     72  1.610698967280E-03  1.017567E-30  1.040656E-30  1.042312E-30  1.056505E-30  1.074828E-30  1.020689E-30  1.034485E-30  1.000000E-30
     73  1.666314948699E-03  1.018235E-30  1.042146E-30  1.043920E-30  1.058699E-30  1.077293E-30  1.021353E-30  1.035597E-30  1.000000E-30
     74  1.722288445659E-03  1.018910E-30  1.043650E-30  1.045548E-30  1.060922E-30  1.079766E-30  1.022017E-30  1.036712E-30  1.000000E-30
     75  1.778618195039E-03  1.019594E-30  1.045170E-30  1.047195E-30  1.063175E-30  1.082247E-30  1.022683E-30  1.037829E-30  1.000000E-30
     76  1.835303663832E-03  1.020287E-30  1.046704E-30  1.048862E-30  1.065457E-30  1.084735E-30  1.023349E-30  1.038947E-30  1.000000E-30
     77  1.892344396716E-03  1.020988E-30  1.048254E-30  1.050549E-30  1.067768E-30  1.087231E-30  1.024016E-30  1.040068E-30  1.000000E-30
     78  1.949739812628E-03  1.021697E-30  1.049819E-30  1.052256E-30  1.070110E-30  1.089735E-30  1.024684E-30  1.041190E-30  1.000000E-30
     79  2.007489276907E-03  1.022415E-30  1.051400E-30  1.053983E-30  1.072481E-30  1.092246E-30  1.025353E-30  1.042314E-30  1.000000E-30
     80  2.065592139419E-03  1.023141E-30  1.052996E-30  1.055731E-30  1.074882E-30  1.094764E-30  1.026022E-30  1.043440E-30  1.000000E-30
     81  2.124047755162E-03  1.023876E-30  1.054608E-30  1.057498E-30  1.077313E-30  1.097289E-30  1.026692E-30  1.044567E-30  1.000000E-30
     82  2.182855495215E-03  1.024620E-30  1.056235E-30  1.059286E-30  1.079775E-30  1.099821E-30  1.027363E-30  1.045695E-30  1.000000E-30
     83  2.242014752368E-03  1.025372E-30  1.057877E-30  1.061095E-30  1.082267E-30  1.102360E-30  1.028034E-30  1.046825E-30  1.000000E-30
     84  2.301524943777E-03  1.026134E-30  1.059535E-30  1.062924E-30  1.084789E-30  1.104905E-30  1.028705E-30  1.047956E-30  1.000000E-30
     85  2.361385511936E-03  1.026904E-30  1.061209E-30  1.064774E-30  1.087342E-30  1.107457E-30  1.029377E-30  1.049089E-30  1.000000E-30
     86  2.421595924701E-03  1.027683E-30  1.062899E-30  1.066645E-30  1.089926E-30  1.110015E-30  1.030049E-30  1.050222E-30  1.000000E-30
     87  2.482155674804E-03  1.028471E-30  1.064605E-30  1.068536E-30  1.092540E-30  1.112579E-30  1.030722E-30  1.051357E-30  1.000000E-30
     88  2.543064279071E-03  1.029268E-30  1.066326E-30  1.070449E-30  1.095186E-30  1.115149E-30  1.031395E-30  1.052492E-30  1.000000E-30
     89  2.604321277494E-03  1.030074E-30  1.068064E-30  1.072382E-30  1.097862E-30  1.117725E-30  1.032068E-30  1.053628E-30  1.000000E-30
     90  2.665926232237E-03  1.030889E-30  1.069817E-30  1.074337E-30  1.100570E-30  1.120306E-30  1.032742E-30  1.054765E-30  1.000000E-30
     91  2.727878734382E-03  1.031714E-30  1.071587E-30  1.076313E-30  1.103309E-30  1.122893E-30  1.033415E-30  1.055903E-30  1.000000E-30
     92  2.790178404165E-03  1.032548E-30  1.073373E-30  1.078310E-30  1.106079E-30  1.125486E-30  1.034089E-30  1.057042E-30  1.000000E-30
     93  2.852824875480E-03  1.033391E-30  1.075174E-30  1.080329E-30  1.108881E-30  1.128084E-30  1.034762E-30  1.058181E-30  1.000000E-30
     94  2.915817796872E-03  1.034243E-30  1.076993E-30  1.082369E-30  1.111714E-30  1.130687E-30  1.035436E-30  1.059321E-30  1.000000E-30
     95  2.979156831833E-03  1.035105E-30  1.078827E-30  1.084430E-30  1.114579E-30  1.133295E-30  1.036109E-30  1.060461E-30  1.000000E-30
