 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                al39          al40          si22          si23          si24          si25          si26          si27 
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.067146E-30  1.019134E-30  1.011762E-30  1.001919E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.069830E-30  1.019899E-30  1.012234E-30  1.001997E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.072579E-30  1.020683E-30  1.012717E-30  1.002078E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.075406E-30  1.021489E-30  1.013214E-30  1.002160E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.078324E-30  1.022322E-30  1.013728E-30  1.002246E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.081353E-30  1.023186E-30  1.014261E-30  1.002334E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.084522E-30  1.024089E-30  1.014819E-30  1.002427E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.087874E-30  1.025046E-30  1.015409E-30  1.002526E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.091496E-30  1.026079E-30  1.016047E-30  1.002633E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.095667E-30  1.027269E-30  1.016782E-30  1.002756E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.100156E-30  1.028550E-30  1.017574E-30  1.002889E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.104743E-30  1.029859E-30  1.018383E-30  1.003025E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.109388E-30  1.031184E-30  1.019203E-30  1.003163E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.114076E-30  1.032523E-30  1.020030E-30  1.003303E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.118802E-30  1.033871E-30  1.020865E-30  1.003444E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.123560E-30  1.035230E-30  1.021706E-30  1.003587E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.128351E-30  1.036598E-30  1.022553E-30  1.003731E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.133174E-30  1.037974E-30  1.023406E-30  1.003876E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.138027E-30  1.039360E-30  1.024265E-30  1.004022E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.142911E-30  1.040755E-30  1.025130E-30  1.004170E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.147825E-30  1.042159E-30  1.026000E-30  1.004319E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.152770E-30  1.043571E-30  1.026877E-30  1.004470E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.157744E-30  1.044992E-30  1.027759E-30  1.004622E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.162749E-30  1.046422E-30  1.028647E-30  1.004775E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.167783E-30  1.047860E-30  1.029541E-30  1.004929E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.172848E-30  1.049307E-30  1.030440E-30  1.005085E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.177942E-30  1.050763E-30  1.031345E-30  1.005242E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.183066E-30  1.052228E-30  1.032256E-30  1.005400E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.188219E-30  1.053701E-30  1.033173E-30  1.005560E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.193402E-30  1.055182E-30  1.034095E-30  1.005721E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.198615E-30  1.056673E-30  1.035024E-30  1.005884E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.203857E-30  1.058172E-30  1.035957E-30  1.006047E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.209128E-30  1.059679E-30  1.036897E-30  1.006213E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.214428E-30  1.061195E-30  1.037842E-30  1.006379E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.219758E-30  1.062719E-30  1.038793E-30  1.006547E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.225117E-30  1.064252E-30  1.039750E-30  1.006716E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.230504E-30  1.065793E-30  1.040712E-30  1.006887E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.235921E-30  1.067343E-30  1.041680E-30  1.007059E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.241367E-30  1.068902E-30  1.042654E-30  1.007232E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.246841E-30  1.070468E-30  1.043634E-30  1.007407E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.252344E-30  1.072043E-30  1.044619E-30  1.007583E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.257876E-30  1.073627E-30  1.045610E-30  1.007761E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.263437E-30  1.075219E-30  1.046606E-30  1.007940E-30
