 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zr108         zr109         zr110         zr111         zr112         zr113         zr114         zr115
     75  1.778618195039E-03  1.041652E-30  1.056919E-30  1.061018E-30  1.078865E-30  1.110761E-30  1.076442E-30  1.146100E-30  1.167150E-30
     76  1.835303663832E-03  1.042980E-30  1.058726E-30  1.062970E-30  1.081388E-30  1.114347E-30  1.079002E-30  1.150607E-30  1.172283E-30
     77  1.892344396716E-03  1.044317E-30  1.060544E-30  1.064935E-30  1.083929E-30  1.117958E-30  1.081585E-30  1.155134E-30  1.177437E-30
     78  1.949739812628E-03  1.045662E-30  1.062373E-30  1.066913E-30  1.086487E-30  1.121596E-30  1.084191E-30  1.159679E-30  1.182611E-30
     79  2.007489276907E-03  1.047015E-30  1.064213E-30  1.068903E-30  1.089063E-30  1.125258E-30  1.086821E-30  1.164244E-30  1.187804E-30
     80  2.065592139419E-03  1.048377E-30  1.066064E-30  1.070907E-30  1.091656E-30  1.128947E-30  1.089474E-30  1.168826E-30  1.193018E-30
     81  2.124047755162E-03  1.049748E-30  1.067926E-30  1.072924E-30  1.094267E-30  1.132661E-30  1.092150E-30  1.173428E-30  1.198250E-30
     82  2.182855495215E-03  1.051127E-30  1.069799E-30  1.074953E-30  1.096897E-30  1.136400E-30  1.094851E-30  1.178047E-30  1.203502E-30
     83  2.242014752368E-03  1.052514E-30  1.071683E-30  1.076996E-30  1.099544E-30  1.140165E-30  1.097574E-30  1.182684E-30  1.208773E-30
     84  2.301524943777E-03  1.053910E-30  1.073577E-30  1.079051E-30  1.102209E-30  1.143956E-30  1.100322E-30  1.187340E-30  1.214063E-30
     85  2.361385511936E-03  1.055314E-30  1.075483E-30  1.081120E-30  1.104893E-30  1.147772E-30  1.103093E-30  1.192012E-30  1.219370E-30
     86  2.421595924701E-03  1.056727E-30  1.077400E-30  1.083202E-30  1.107595E-30  1.151613E-30  1.105888E-30  1.196702E-30  1.224696E-30
     87  2.482155674804E-03  1.058148E-30  1.079328E-30  1.085297E-30  1.110316E-30  1.155480E-30  1.108707E-30  1.201410E-30  1.230040E-30
     88  2.543064279071E-03  1.059577E-30  1.081266E-30  1.087405E-30  1.113055E-30  1.159373E-30  1.111550E-30  1.206134E-30  1.235402E-30
     89  2.604321277494E-03  1.061015E-30  1.083216E-30  1.089526E-30  1.115813E-30  1.163291E-30  1.114417E-30  1.210875E-30  1.240781E-30
     90  2.665926232237E-03  1.062462E-30  1.085177E-30  1.091660E-30  1.118590E-30  1.167234E-30  1.117308E-30  1.215633E-30  1.246177E-30
     91  2.727878734382E-03  1.063917E-30  1.087148E-30  1.093808E-30  1.121386E-30  1.171203E-30  1.120223E-30  1.220407E-30  1.251591E-30
     92  2.790178404165E-03  1.065381E-30  1.089131E-30  1.095968E-30  1.124202E-30  1.175198E-30  1.123162E-30  1.225197E-30  1.257021E-30
     93  2.852824875480E-03  1.066853E-30  1.091124E-30  1.098142E-30  1.127036E-30  1.179218E-30  1.126126E-30  1.230004E-30  1.262467E-30
     94  2.915817796872E-03  1.068333E-30  1.093129E-30  1.100330E-30  1.129890E-30  1.183263E-30  1.129114E-30  1.234826E-30  1.267930E-30
     95  2.979156831833E-03  1.069822E-30  1.095144E-30  1.102530E-30  1.132764E-30  1.187334E-30  1.132126E-30  1.239664E-30  1.273409E-30
