 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg31          mg32          mg33          mg34          mg35          mg36          mg37          al22 
     43  4.720041568584E-04  1.018546E-30  1.020941E-30  1.036710E-30  1.042776E-30  1.000000E-30  1.000000E-30  1.000049E-30  1.008466E-30
     44  5.002792532552E-04  1.019702E-30  1.022193E-30  1.038904E-30  1.045316E-30  1.000000E-30  1.000000E-30  1.000041E-30  1.008973E-30
     45  5.282472522620E-04  1.020851E-30  1.023431E-30  1.041075E-30  1.047827E-30  1.000000E-30  1.000000E-30  1.000035E-30  1.009473E-30
     46  5.560479783168E-04  1.021998E-30  1.024662E-30  1.043232E-30  1.050319E-30  1.000000E-30  1.000000E-30  1.000032E-30  1.009971E-30
     47  5.838060709037E-04  1.023149E-30  1.025890E-30  1.045385E-30  1.052806E-30  1.000000E-30  1.000000E-30  1.000031E-30  1.010468E-30
     48  6.116334118686E-04  1.024307E-30  1.027121E-30  1.047544E-30  1.055296E-30  1.000000E-30  1.000000E-30  1.000033E-30  1.010966E-30
     49  6.396318340541E-04  1.025477E-30  1.028359E-30  1.049715E-30  1.057800E-30  1.000000E-30  1.000000E-30  1.000035E-30  1.011467E-30
     50  6.678959636874E-04  1.026663E-30  1.029609E-30  1.051906E-30  1.060324E-30  1.000000E-30  1.000000E-30  1.000040E-30  1.011973E-30
     51  6.965161747902E-04  1.027869E-30  1.030874E-30  1.054124E-30  1.062878E-30  1.000000E-30  1.000000E-30  1.000047E-30  1.012485E-30
     52  7.255817382538E-04  1.029100E-30  1.032159E-30  1.056377E-30  1.065469E-30  1.000000E-30  1.000000E-30  1.000056E-30  1.013005E-30
     53  7.551843574001E-04  1.030359E-30  1.033467E-30  1.058670E-30  1.068106E-30  1.000000E-30  1.000000E-30  1.000068E-30  1.013534E-30
     54  7.854224313090E-04  1.031650E-30  1.034803E-30  1.061012E-30  1.070796E-30  1.000000E-30  1.000000E-30  1.000083E-30  1.014075E-30
     55  8.164066374138E-04  1.032979E-30  1.036171E-30  1.063412E-30  1.073549E-30  1.000000E-30  1.000000E-30  1.000102E-30  1.014629E-30
     56  8.482679080764E-04  1.034353E-30  1.037578E-30  1.065878E-30  1.076378E-30  1.000000E-30  1.000000E-30  1.000127E-30  1.015198E-30
     57  8.811699017317E-04  1.035777E-30  1.039030E-30  1.068425E-30  1.079295E-30  1.000000E-30  1.000000E-30  1.000160E-30  1.015786E-30
     58  9.153304977871E-04  1.037264E-30  1.040538E-30  1.071068E-30  1.082321E-30  1.000000E-30  1.000000E-30  1.000203E-30  1.016396E-30
     59  9.510634923056E-04  1.038827E-30  1.042114E-30  1.073833E-30  1.085482E-30  1.000000E-30  1.000000E-30  1.000264E-30  1.017035E-30
     60  9.888739022907E-04  1.040489E-30  1.043782E-30  1.076757E-30  1.088822E-30  1.000000E-30  1.000000E-30  1.000352E-30  1.017710E-30
     61  1.029744313280E-03  1.042296E-30  1.045584E-30  1.079917E-30  1.092428E-30  1.000000E-30  1.000000E-30  1.000497E-30  1.018439E-30
     62  1.076805333108E-03  1.044389E-30  1.047658E-30  1.083554E-30  1.096574E-30  1.000000E-30  1.000000E-30  1.000805E-30  1.019280E-30
     63  1.127478238084E-03  1.046659E-30  1.049891E-30  1.087469E-30  1.101030E-30  1.000000E-30  1.000000E-30  1.000967E-30  1.020184E-30
     64  1.179263354774E-03  1.048995E-30  1.052171E-30  1.091468E-30  1.105576E-30  1.000000E-30  1.000000E-30  1.001011E-30  1.021108E-30
     65  1.231720185468E-03  1.051378E-30  1.054481E-30  1.095518E-30  1.110173E-30  1.000000E-30  1.000000E-30  1.001035E-30  1.022043E-30
