 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                kr97          kr98          kr99          kr100         kr101         kr102         kr103         kr104
     78  1.949739812628E-03  1.005019E-30  1.006278E-30  1.021723E-30  1.170190E-30  1.092305E-30  1.142454E-30  1.181567E-30  1.209804E-30
     79  2.007489276907E-03  1.005178E-30  1.006485E-30  1.022457E-30  1.175159E-30  1.094937E-30  1.146783E-30  1.186856E-30  1.215731E-30
     80  2.065592139419E-03  1.005338E-30  1.006695E-30  1.023200E-30  1.180153E-30  1.097580E-30  1.151143E-30  1.192172E-30  1.221677E-30
     81  2.124047755162E-03  1.005500E-30  1.006907E-30  1.023953E-30  1.185174E-30  1.100232E-30  1.155535E-30  1.197514E-30  1.227643E-30
     82  2.182855495215E-03  1.005664E-30  1.007122E-30  1.024716E-30  1.190221E-30  1.102895E-30  1.159959E-30  1.202883E-30  1.233629E-30
     83  2.242014752368E-03  1.005829E-30  1.007339E-30  1.025489E-30  1.195294E-30  1.105568E-30  1.164414E-30  1.208278E-30  1.239633E-30
     84  2.301524943777E-03  1.005996E-30  1.007559E-30  1.026272E-30  1.200392E-30  1.108250E-30  1.168901E-30  1.213698E-30  1.245657E-30
     85  2.361385511936E-03  1.006164E-30  1.007782E-30  1.027065E-30  1.205516E-30  1.110942E-30  1.173419E-30  1.219145E-30  1.251699E-30
     86  2.421595924701E-03  1.006334E-30  1.008007E-30  1.027869E-30  1.210666E-30  1.113644E-30  1.177969E-30  1.224617E-30  1.257759E-30
     87  2.482155674804E-03  1.006506E-30  1.008236E-30  1.028682E-30  1.215840E-30  1.116355E-30  1.182551E-30  1.230114E-30  1.263837E-30
     88  2.543064279071E-03  1.006679E-30  1.008466E-30  1.029507E-30  1.221041E-30  1.119076E-30  1.187164E-30  1.235636E-30  1.269933E-30
     89  2.604321277494E-03  1.006854E-30  1.008700E-30  1.030342E-30  1.226266E-30  1.121805E-30  1.191808E-30  1.241183E-30  1.276046E-30
     90  2.665926232237E-03  1.007031E-30  1.008937E-30  1.031187E-30  1.231516E-30  1.124544E-30  1.196484E-30  1.246755E-30  1.282176E-30
     91  2.727878734382E-03  1.007209E-30  1.009176E-30  1.032043E-30  1.236791E-30  1.127292E-30  1.201191E-30  1.252352E-30  1.288323E-30
     92  2.790178404165E-03  1.007389E-30  1.009418E-30  1.032910E-30  1.242092E-30  1.130049E-30  1.205929E-30  1.257973E-30  1.294486E-30
     93  2.852824875480E-03  1.007571E-30  1.009663E-30  1.033788E-30  1.247416E-30  1.132814E-30  1.210699E-30  1.263618E-30  1.300666E-30
     94  2.915817796872E-03  1.007755E-30  1.009911E-30  1.034677E-30  1.252766E-30  1.135588E-30  1.215499E-30  1.269288E-30  1.306861E-30
     95  2.979156831833E-03  1.007940E-30  1.010162E-30  1.035577E-30  1.258140E-30  1.138371E-30  1.220331E-30  1.274981E-30  1.313072E-30
