 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pd124         pd125         pd126         pd127         pd128         pd129         pd130         pd131
     58  9.153304977871E-04  1.016039E-30  1.021311E-30  1.014461E-30  1.026824E-30  1.029315E-30  1.032445E-30  1.034336E-30  1.000000E-30
     59  9.510634923056E-04  1.016665E-30  1.022142E-30  1.015025E-30  1.027870E-30  1.030456E-30  1.033708E-30  1.035672E-30  1.000000E-30
     60  9.888739022907E-04  1.017327E-30  1.023021E-30  1.015623E-30  1.028977E-30  1.031664E-30  1.035044E-30  1.037085E-30  1.000000E-30
     61  1.029744313280E-03  1.018042E-30  1.023972E-30  1.016269E-30  1.030174E-30  1.032968E-30  1.036488E-30  1.038612E-30  1.000000E-30
     62  1.076805333108E-03  1.018866E-30  1.025067E-30  1.017012E-30  1.031551E-30  1.034471E-30  1.038150E-30  1.040370E-30  1.000000E-30
     63  1.127478238084E-03  1.019753E-30  1.026245E-30  1.017813E-30  1.033034E-30  1.036088E-30  1.039939E-30  1.042262E-30  1.000000E-30
     64  1.179263354774E-03  1.020660E-30  1.027449E-30  1.018631E-30  1.034549E-30  1.037740E-30  1.041767E-30  1.044195E-30  1.000000E-30
     65  1.231720185468E-03  1.021578E-30  1.028669E-30  1.019460E-30  1.036084E-30  1.039413E-30  1.043617E-30  1.046153E-30  1.000000E-30
     66  1.284679788904E-03  1.022504E-30  1.029900E-30  1.020297E-30  1.037633E-30  1.041101E-30  1.045485E-30  1.048128E-30  1.000000E-30
     67  1.338068714676E-03  1.023439E-30  1.031141E-30  1.021141E-30  1.039195E-30  1.042803E-30  1.047368E-30  1.050119E-30  1.000000E-30
     68  1.391852718980E-03  1.024380E-30  1.032392E-30  1.021991E-30  1.040768E-30  1.044517E-30  1.049263E-30  1.052124E-30  1.000000E-30
     69  1.446014888479E-03  1.025327E-30  1.033651E-30  1.022848E-30  1.042352E-30  1.046243E-30  1.051172E-30  1.054142E-30  1.000000E-30
     70  1.500546342624E-03  1.026281E-30  1.034918E-30  1.023710E-30  1.043947E-30  1.047979E-30  1.053093E-30  1.056173E-30  1.000000E-30
     71  1.555442065896E-03  1.027241E-30  1.036194E-30  1.024578E-30  1.045552E-30  1.049727E-30  1.055026E-30  1.058216E-30  1.000000E-30
     72  1.610698967280E-03  1.028208E-30  1.037478E-30  1.025451E-30  1.047167E-30  1.051486E-30  1.056971E-30  1.060273E-30  1.000000E-30
     73  1.666314948699E-03  1.029180E-30  1.038770E-30  1.026331E-30  1.048793E-30  1.053255E-30  1.058928E-30  1.062342E-30  1.000000E-30
     74  1.722288445659E-03  1.030159E-30  1.040070E-30  1.027216E-30  1.050429E-30  1.055035E-30  1.060897E-30  1.064423E-30  1.000000E-30
     75  1.778618195039E-03  1.031144E-30  1.041379E-30  1.028107E-30  1.052075E-30  1.056827E-30  1.062877E-30  1.066517E-30  1.000000E-30
     76  1.835303663832E-03  1.032135E-30  1.042695E-30  1.029004E-30  1.053731E-30  1.058628E-30  1.064870E-30  1.068623E-30  1.000000E-30
     77  1.892344396716E-03  1.033132E-30  1.044020E-30  1.029906E-30  1.055398E-30  1.060441E-30  1.066874E-30  1.070742E-30  1.000000E-30
     78  1.949739812628E-03  1.034135E-30  1.045353E-30  1.030814E-30  1.057075E-30  1.062264E-30  1.068890E-30  1.072873E-30  1.000000E-30
     79  2.007489276907E-03  1.035145E-30  1.046694E-30  1.031728E-30  1.058762E-30  1.064098E-30  1.070918E-30  1.075016E-30  1.000000E-30
     80  2.065592139419E-03  1.036160E-30  1.048043E-30  1.032648E-30  1.060459E-30  1.065943E-30  1.072957E-30  1.077171E-30  1.000000E-30
     81  2.124047755162E-03  1.037182E-30  1.049400E-30  1.033573E-30  1.062166E-30  1.067798E-30  1.075009E-30  1.079339E-30  1.000000E-30
     82  2.182855495215E-03  1.038209E-30  1.050765E-30  1.034504E-30  1.063883E-30  1.069664E-30  1.077071E-30  1.081519E-30  1.000000E-30
     83  2.242014752368E-03  1.039243E-30  1.052138E-30  1.035441E-30  1.065610E-30  1.071540E-30  1.079146E-30  1.083710E-30  1.000000E-30
     84  2.301524943777E-03  1.040282E-30  1.053519E-30  1.036383E-30  1.067347E-30  1.073427E-30  1.081231E-30  1.085914E-30  1.000000E-30
     85  2.361385511936E-03  1.041328E-30  1.054909E-30  1.037331E-30  1.069094E-30  1.075324E-30  1.083329E-30  1.088130E-30  1.000000E-30
     86  2.421595924701E-03  1.042379E-30  1.056306E-30  1.038285E-30  1.070851E-30  1.077232E-30  1.085437E-30  1.090358E-30  1.000000E-30
     87  2.482155674804E-03  1.043437E-30  1.057711E-30  1.039245E-30  1.072619E-30  1.079150E-30  1.087558E-30  1.092598E-30  1.000000E-30
     88  2.543064279071E-03  1.044501E-30  1.059124E-30  1.040210E-30  1.074396E-30  1.081079E-30  1.089689E-30  1.094850E-30  1.000000E-30
     89  2.604321277494E-03  1.045570E-30  1.060545E-30  1.041181E-30  1.076183E-30  1.083018E-30  1.091832E-30  1.097114E-30  1.000000E-30
     90  2.665926232237E-03  1.046646E-30  1.061974E-30  1.042158E-30  1.077980E-30  1.084967E-30  1.093987E-30  1.099390E-30  1.000000E-30
     91  2.727878734382E-03  1.047727E-30  1.063410E-30  1.043140E-30  1.079786E-30  1.086927E-30  1.096152E-30  1.101677E-30  1.000000E-30
     92  2.790178404165E-03  1.048815E-30  1.064855E-30  1.044128E-30  1.081603E-30  1.088897E-30  1.098329E-30  1.103976E-30  1.000000E-30
     93  2.852824875480E-03  1.049908E-30  1.066308E-30  1.045122E-30  1.083430E-30  1.090877E-30  1.100518E-30  1.106288E-30  1.000000E-30
     94  2.915817796872E-03  1.051007E-30  1.067768E-30  1.046121E-30  1.085266E-30  1.092867E-30  1.102717E-30  1.108610E-30  1.000000E-30
     95  2.979156831833E-03  1.052112E-30  1.069236E-30  1.047127E-30  1.087112E-30  1.094868E-30  1.104928E-30  1.110945E-30  1.000000E-30
