 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
     55  8.164066374138E-04  1.003905E-30  1.003600E-30  1.003807E-30  1.005382E-30  1.008435E-30  1.008196E-30  1.000000E-30  4.999848E-07
     56  8.482679080764E-04  1.004058E-30  1.003740E-30  1.003956E-30  1.005593E-30  1.008765E-30  1.008517E-30  1.000000E-30  4.999848E-07
     57  8.811699017317E-04  1.004215E-30  1.003886E-30  1.004110E-30  1.005811E-30  1.009106E-30  1.008849E-30  1.000000E-30  4.999848E-07
     58  9.153304977871E-04  1.004379E-30  1.004037E-30  1.004270E-30  1.006038E-30  1.009460E-30  1.009194E-30  1.000000E-30  4.999848E-07
     59  9.510634923056E-04  1.004550E-30  1.004194E-30  1.004437E-30  1.006274E-30  1.009830E-30  1.009554E-30  1.000000E-30  4.999848E-07
     60  9.888739022907E-04  1.004731E-30  1.004361E-30  1.004614E-30  1.006525E-30  1.010223E-30  1.009936E-30  1.000000E-30  4.999848E-07
     61  1.029744313280E-03  1.004927E-30  1.004542E-30  1.004806E-30  1.006796E-30  1.010646E-30  1.010349E-30  1.000000E-30  4.999848E-07
     62  1.076805333108E-03  1.005153E-30  1.004750E-30  1.005026E-30  1.007108E-30  1.011135E-30  1.010825E-30  1.000000E-30  4.999848E-07
     63  1.127478238084E-03  1.005396E-30  1.004974E-30  1.005264E-30  1.007445E-30  1.011661E-30  1.011337E-30  1.000000E-30  4.999848E-07
     64  1.179263354774E-03  1.005644E-30  1.005203E-30  1.005506E-30  1.007788E-30  1.012198E-30  1.011861E-30  1.000000E-30  4.999848E-07
     65  1.231720185468E-03  1.005895E-30  1.005435E-30  1.005752E-30  1.008137E-30  1.012743E-30  1.012392E-30  1.000000E-30  4.999848E-07
     66  1.284679788904E-03  1.006149E-30  1.005669E-30  1.006001E-30  1.008489E-30  1.013293E-30  1.012928E-30  1.000000E-30  4.999848E-07
     67  1.338068714676E-03  1.006405E-30  1.005905E-30  1.006251E-30  1.008844E-30  1.013848E-30  1.013469E-30  1.000000E-30  4.999848E-07
     68  1.391852718980E-03  1.006663E-30  1.006143E-30  1.006504E-30  1.009202E-30  1.014407E-30  1.014015E-30  1.000000E-30  4.999848E-07
     69  1.446014888479E-03  1.006923E-30  1.006383E-30  1.006758E-30  1.009563E-30  1.014970E-30  1.014564E-30  1.000000E-30  4.999848E-07
     70  1.500546342624E-03  1.007185E-30  1.006624E-30  1.007014E-30  1.009926E-30  1.015538E-30  1.015118E-30  1.000000E-30  4.999848E-07
     71  1.555442065896E-03  1.007448E-30  1.006867E-30  1.007272E-30  1.010292E-30  1.016109E-30  1.015675E-30  1.000000E-30  4.999848E-07
     72  1.610698967280E-03  1.007713E-30  1.007112E-30  1.007532E-30  1.010660E-30  1.016684E-30  1.016237E-30  1.000000E-30  4.999848E-07
     73  1.666314948699E-03  1.007980E-30  1.007358E-30  1.007794E-30  1.011031E-30  1.017263E-30  1.016802E-30  1.000000E-30  4.999848E-07
     74  1.722288445659E-03  1.008249E-30  1.007606E-30  1.008057E-30  1.011405E-30  1.017847E-30  1.017372E-30  1.000000E-30  4.999848E-07
     75  1.778618195039E-03  1.008519E-30  1.007856E-30  1.008322E-30  1.011781E-30  1.018434E-30  1.017945E-30  1.000000E-30  4.999848E-07
     76  1.835303663832E-03  1.008791E-30  1.008107E-30  1.008589E-30  1.012160E-30  1.019025E-30  1.018523E-30  1.000000E-30  4.999848E-07
