 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ti54          ti55          ti56          ti57          ti58          ti59          ti60          ti61 
     79  2.007489276907E-03  9.952367E-30  1.011737E-30  1.011557E-30  1.086633E-30  1.091292E-30  1.126669E-30  1.258865E-30  1.237733E-30
     80  2.065592139419E-03  1.047753E-29  1.012099E-30  1.011928E-30  1.089219E-30  1.093902E-30  1.130245E-30  1.266258E-30  1.244436E-30
     81  2.124047755162E-03  1.102096E-29  1.012466E-30  1.012304E-30  1.091824E-30  1.096527E-30  1.133837E-30  1.273690E-30  1.251170E-30
     82  2.182855495215E-03  1.158292E-29  1.012835E-30  1.012683E-30  1.094450E-30  1.099165E-30  1.137445E-30  1.281161E-30  1.257935E-30
     83  2.242014752368E-03  1.216367E-29  1.013209E-30  1.013068E-30  1.097095E-30  1.101817E-30  1.141070E-30  1.288671E-30  1.264731E-30
     84  2.301524943777E-03  1.276349E-29  1.013586E-30  1.013457E-30  1.099761E-30  1.104483E-30  1.144711E-30  1.296220E-30  1.271556E-30
     85  2.361385511936E-03  1.338265E-29  1.013967E-30  1.013850E-30  1.102446E-30  1.107163E-30  1.148368E-30  1.303807E-30  1.278411E-30
     86  2.421595924701E-03  1.402141E-29  1.014351E-30  1.014249E-30  1.105151E-30  1.109857E-30  1.152041E-30  1.311433E-30  1.285296E-30
     87  2.482155674804E-03  1.468004E-29  1.014740E-30  1.014652E-30  1.107877E-30  1.112565E-30  1.155729E-30  1.319096E-30  1.292211E-30
     88  2.543064279071E-03  1.535883E-29  1.015132E-30  1.015060E-30  1.110622E-30  1.115286E-30  1.159434E-30  1.326799E-30  1.299154E-30
     89  2.604321277494E-03  1.605803E-29  1.015528E-30  1.015473E-30  1.113388E-30  1.118021E-30  1.163153E-30  1.334538E-30  1.306127E-30
     90  2.665926232237E-03  1.677793E-29  1.015928E-30  1.015891E-30  1.116174E-30  1.120769E-30  1.166889E-30  1.342316E-30  1.313128E-30
     91  2.727878734382E-03  1.751881E-29  1.016332E-30  1.016313E-30  1.118980E-30  1.123531E-30  1.170639E-30  1.350132E-30  1.320158E-30
     92  2.790178404165E-03  1.828094E-29  1.016740E-30  1.016741E-30  1.121806E-30  1.126306E-30  1.174405E-30  1.357985E-30  1.327216E-30
     93  2.852824875480E-03  1.906460E-29  1.017152E-30  1.017174E-30  1.124652E-30  1.129094E-30  1.178186E-30  1.365875E-30  1.334303E-30
     94  2.915817796872E-03  1.987007E-29  1.017567E-30  1.017612E-30  1.127519E-30  1.131896E-30  1.181981E-30  1.373802E-30  1.341417E-30
     95  2.979156831833E-03  2.069764E-29  1.017987E-30  1.018056E-30  1.130406E-30  1.134712E-30  1.185792E-30  1.381767E-30  1.348559E-30
