 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
     81  2.124047755162E-03  1.000000E-30  1.000721E-30  1.000231E-30  1.001372E-30  1.004989E-30  1.048965E-30  1.032638E-30  1.029603E-30
     82  2.182855495215E-03  1.000000E-30  1.000741E-30  1.000237E-30  1.001410E-30  1.005130E-30  1.050340E-30  1.033569E-30  1.030516E-30
     83  2.242014752368E-03  1.000000E-30  1.000761E-30  1.000243E-30  1.001448E-30  1.005272E-30  1.051725E-30  1.034508E-30  1.031439E-30
     84  2.301524943777E-03  1.000000E-30  1.000782E-30  1.000250E-30  1.001487E-30  1.005415E-30  1.053118E-30  1.035453E-30  1.032374E-30
     85  2.361385511936E-03  1.000000E-30  1.000802E-30  1.000256E-30  1.001525E-30  1.005559E-30  1.054521E-30  1.036405E-30  1.033318E-30
     86  2.421595924701E-03  1.000000E-30  1.000823E-30  1.000263E-30  1.001564E-30  1.005704E-30  1.055933E-30  1.037365E-30  1.034274E-30
     87  2.482155674804E-03  1.000000E-30  1.000843E-30  1.000270E-30  1.001604E-30  1.005850E-30  1.057355E-30  1.038331E-30  1.035240E-30
     88  2.543064279071E-03  1.000000E-30  1.000864E-30  1.000276E-30  1.001643E-30  1.005997E-30  1.058786E-30  1.039305E-30  1.036217E-30
     89  2.604321277494E-03  1.000000E-30  1.000885E-30  1.000283E-30  1.001683E-30  1.006145E-30  1.060226E-30  1.040286E-30  1.037205E-30
     90  2.665926232237E-03  1.000000E-30  1.000906E-30  1.000290E-30  1.001723E-30  1.006294E-30  1.061675E-30  1.041274E-30  1.038204E-30
     91  2.727878734382E-03  1.000000E-30  1.000927E-30  1.000296E-30  1.001763E-30  1.006444E-30  1.063134E-30  1.042269E-30  1.039214E-30
     92  2.790178404165E-03  1.000000E-30  1.000949E-30  1.000303E-30  1.001804E-30  1.006595E-30  1.064601E-30  1.043272E-30  1.040235E-30
     93  2.852824875480E-03  1.000000E-30  1.000970E-30  1.000310E-30  1.001844E-30  1.006747E-30  1.066079E-30  1.044281E-30  1.041268E-30
     94  2.915817796872E-03  1.000000E-30  1.000992E-30  1.000317E-30  1.001885E-30  1.006900E-30  1.067565E-30  1.045298E-30  1.042312E-30
     95  2.979156831833E-03  1.000000E-30  1.001013E-30  1.000324E-30  1.001927E-30  1.007054E-30  1.069061E-30  1.046322E-30  1.043367E-30
