 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cl45          cl46          cl47          cl48          cl49          cl50          cl51          ar30 
     72  1.610698967280E-03  1.013860E-30  6.277116E-29  1.185578E-30  1.049997E-30  1.177445E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.014347E-30  6.708867E-29  1.191949E-30  1.051698E-30  1.183449E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.014837E-30  7.157969E-29  1.198359E-30  1.053408E-30  1.189483E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.015331E-30  7.624677E-29  1.204807E-30  1.055128E-30  1.195547E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.015829E-30  8.109254E-29  1.211294E-30  1.056856E-30  1.201641E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.016331E-30  8.611963E-29  1.217818E-30  1.058594E-30  1.207765E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.016836E-30  9.133067E-29  1.224380E-30  1.060341E-30  1.213918E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.017345E-30  9.672827E-29  1.230981E-30  1.062097E-30  1.220101E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.017857E-30  1.023151E-28  1.237619E-30  1.063861E-30  1.226312E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.018374E-30  1.080937E-28  1.244294E-30  1.065635E-30  1.232553E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.018894E-30  1.140669E-28  1.251007E-30  1.067417E-30  1.238822E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.019418E-30  1.202371E-28  1.257758E-30  1.069209E-30  1.245119E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.019945E-30  1.266072E-28  1.264546E-30  1.071009E-30  1.251445E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.020477E-30  1.331797E-28  1.271371E-30  1.072817E-30  1.257799E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.021012E-30  1.399573E-28  1.278233E-30  1.074635E-30  1.264180E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.021550E-30  1.469428E-28  1.285132E-30  1.076461E-30  1.270590E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.022093E-30  1.541387E-28  1.292068E-30  1.078295E-30  1.277026E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.022639E-30  1.615479E-28  1.299040E-30  1.080138E-30  1.283490E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.023189E-30  1.691730E-28  1.306050E-30  1.081990E-30  1.289981E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.023743E-30  1.770167E-28  1.313095E-30  1.083849E-30  1.296498E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.024300E-30  1.850817E-28  1.320178E-30  1.085718E-30  1.303042E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.024862E-30  1.933709E-28  1.327296E-30  1.087594E-30  1.309613E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.025427E-30  2.018868E-28  1.334451E-30  1.089479E-30  1.316210E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.025996E-30  2.106324E-28  1.341642E-30  1.091372E-30  1.322833E-30  1.000000E-30  1.000000E-30  1.000000E-30
