 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ag132         ag133         ag134         cd95          cd96          cd97          cd98          cd99 
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003366E-30  1.000000E-30  1.000118E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003496E-30  1.000000E-30  1.000123E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003633E-30  1.000000E-30  1.000127E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003777E-30  1.000000E-30  1.000133E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003933E-30  1.000000E-30  1.000138E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004113E-30  1.000000E-30  1.000144E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004306E-30  1.000000E-30  1.000151E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004504E-30  1.000000E-30  1.000158E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004704E-30  1.000000E-30  1.000166E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.004907E-30  1.000000E-30  1.000173E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005111E-30  1.000000E-30  1.000180E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005316E-30  1.000000E-30  1.000187E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005523E-30  1.000000E-30  1.000195E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005731E-30  1.000000E-30  1.000202E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005941E-30  1.000000E-30  1.000210E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006152E-30  1.000000E-30  1.000217E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006364E-30  1.000000E-30  1.000225E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006578E-30  1.000000E-30  1.000233E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.006793E-30  1.000000E-30  1.000240E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007009E-30  1.000000E-30  1.000248E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007227E-30  1.000000E-30  1.000256E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007446E-30  1.000000E-30  1.000264E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007667E-30  1.000000E-30  1.000272E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.007889E-30  1.000000E-30  1.000280E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008112E-30  1.000000E-30  1.000288E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008336E-30  1.000000E-30  1.000296E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008562E-30  1.000000E-30  1.000305E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008789E-30  1.000000E-30  1.000313E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009018E-30  1.000000E-30  1.000321E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009248E-30  1.000000E-30  1.000330E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009479E-30  1.000000E-30  1.000338E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009711E-30  1.000000E-30  1.000347E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.009945E-30  1.000000E-30  1.000355E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010180E-30  1.000000E-30  1.000364E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010417E-30  1.000000E-30  1.000372E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010655E-30  1.000000E-30  1.000381E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.010894E-30  1.000000E-30  1.000390E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011134E-30  1.000000E-30  1.000399E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.011376E-30  1.000000E-30  1.000408E-30
