 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tm191         tm192         tm193         tm194         tm195         tm196         tm197         tm198
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000143E-30  1.011171E-30  1.000000E-30  1.011595E-30  1.000000E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000158E-30  1.011653E-30  1.000000E-30  1.012089E-30  1.000000E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000174E-30  1.012140E-30  1.000000E-30  1.012586E-30  1.000000E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000191E-30  1.012631E-30  1.000000E-30  1.013087E-30  1.000000E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000209E-30  1.013125E-30  1.000000E-30  1.013591E-30  1.000000E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000227E-30  1.013623E-30  1.000000E-30  1.014098E-30  1.000000E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000247E-30  1.014124E-30  1.000000E-30  1.014608E-30  1.000000E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000268E-30  1.014629E-30  1.000000E-30  1.015121E-30  1.000000E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000289E-30  1.015137E-30  1.000000E-30  1.015637E-30  1.000000E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000311E-30  1.015649E-30  1.000000E-30  1.016156E-30  1.000000E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000335E-30  1.016164E-30  1.000000E-30  1.016677E-30  1.000000E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000359E-30  1.016683E-30  1.000000E-30  1.017202E-30  1.000000E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000385E-30  1.017205E-30  1.000000E-30  1.017729E-30  1.000000E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000411E-30  1.017731E-30  1.000000E-30  1.018259E-30  1.000000E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000439E-30  1.018260E-30  1.000000E-30  1.018793E-30  1.000000E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000467E-30  1.018792E-30  1.000000E-30  1.019328E-30  1.000000E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000497E-30  1.019328E-30  1.000000E-30  1.019867E-30  1.000000E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000528E-30  1.019868E-30  1.000000E-30  1.020409E-30  1.000000E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000560E-30  1.020411E-30  1.000000E-30  1.020953E-30  1.000000E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000593E-30  1.020957E-30  1.000000E-30  1.021500E-30  1.000000E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000627E-30  1.021507E-30  1.000000E-30  1.022049E-30  1.000000E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000662E-30  1.022060E-30  1.000000E-30  1.022602E-30  1.000000E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000698E-30  1.022617E-30  1.000000E-30  1.023157E-30  1.000000E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000736E-30  1.023177E-30  1.000000E-30  1.023715E-30  1.000000E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000775E-30  1.023741E-30  1.000000E-30  1.024276E-30  1.000000E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000815E-30  1.024308E-30  1.000000E-30  1.024839E-30  1.000000E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000856E-30  1.024878E-30  1.000000E-30  1.025405E-30  1.000000E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000898E-30  1.025452E-30  1.000000E-30  1.025974E-30  1.000000E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000942E-30  1.026029E-30  1.000000E-30  1.026545E-30  1.000000E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000987E-30  1.026610E-30  1.000000E-30  1.027119E-30  1.000000E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.001034E-30  1.027194E-30  1.000000E-30  1.027695E-30  1.000000E-30
