 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ag116         ag117         ag118         ag119         ag120         ag121         ag122         ag123
     83  2.242014752368E-03  1.000122E-30  1.000341E-30  1.000409E-30  1.000960E-30  1.001865E-30  1.000000E-30  1.033956E-26  1.000000E-30
     84  2.301524943777E-03  1.000125E-30  1.000350E-30  1.000420E-30  1.000985E-30  1.001915E-30  1.000000E-30  1.061355E-26  1.000000E-30
     85  2.361385511936E-03  1.000129E-30  1.000359E-30  1.000431E-30  1.001011E-30  1.001966E-30  1.000000E-30  1.088913E-26  1.000000E-30
     86  2.421595924701E-03  1.000132E-30  1.000368E-30  1.000442E-30  1.001037E-30  1.002016E-30  1.000000E-30  1.116631E-26  1.000000E-30
     87  2.482155674804E-03  1.000135E-30  1.000377E-30  1.000453E-30  1.001064E-30  1.002068E-30  1.000000E-30  1.144509E-26  1.000000E-30
     88  2.543064279071E-03  1.000139E-30  1.000386E-30  1.000465E-30  1.001090E-30  1.002119E-30  1.000000E-30  1.172545E-26  1.000000E-30
     89  2.604321277494E-03  1.000142E-30  1.000396E-30  1.000476E-30  1.001117E-30  1.002171E-30  1.000000E-30  1.200741E-26  1.000000E-30
     90  2.665926232237E-03  1.000145E-30  1.000405E-30  1.000487E-30  1.001143E-30  1.002223E-30  1.000000E-30  1.229095E-26  1.000000E-30
     91  2.727878734382E-03  1.000149E-30  1.000415E-30  1.000499E-30  1.001170E-30  1.002275E-30  1.000000E-30  1.257608E-26  1.000000E-30
     92  2.790178404165E-03  1.000152E-30  1.000424E-30  1.000510E-30  1.001197E-30  1.002328E-30  1.000000E-30  1.286279E-26  1.000000E-30
     93  2.852824875480E-03  1.000156E-30  1.000434E-30  1.000522E-30  1.001225E-30  1.002381E-30  1.000000E-30  1.315108E-26  1.000000E-30
     94  2.915817796872E-03  1.000159E-30  1.000443E-30  1.000534E-30  1.001252E-30  1.002434E-30  1.000000E-30  1.344096E-26  1.000000E-30
     95  2.979156831833E-03  1.000162E-30  1.000453E-30  1.000545E-30  1.001280E-30  1.002488E-30  1.000000E-30  1.373241E-26  1.000000E-30
