 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zr116         zr117         zr118         zr119         zr120         zr121         zr122         nb80 
     66  1.284679788904E-03  1.098320E-30  1.144931E-30  1.145130E-30  1.165529E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.102256E-30  1.150730E-30  1.150870E-30  1.172043E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.106209E-30  1.156555E-30  1.156630E-30  1.178576E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.110178E-30  1.162402E-30  1.162408E-30  1.185127E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.114162E-30  1.168272E-30  1.168202E-30  1.191693E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.118160E-30  1.174163E-30  1.174011E-30  1.198274E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.122172E-30  1.180074E-30  1.179835E-30  1.204869E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.126198E-30  1.186005E-30  1.185673E-30  1.211477E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.130238E-30  1.191956E-30  1.191524E-30  1.218098E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.134290E-30  1.197925E-30  1.197389E-30  1.224730E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.138355E-30  1.203913E-30  1.203266E-30  1.231374E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.142432E-30  1.209920E-30  1.209155E-30  1.238029E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.146522E-30  1.215944E-30  1.215056E-30  1.244694E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.150624E-30  1.221986E-30  1.220968E-30  1.251369E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
