 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                i149          i150          i151          i152          i153          i154          i155          i156 
     44  5.002792532552E-04  1.005051E-30  1.003462E-30  1.007395E-30  1.012712E-30  1.010346E-30  1.011802E-30  1.000000E-30  1.000000E-30
     45  5.282472522620E-04  1.005346E-30  1.003673E-30  1.007831E-30  1.013415E-30  1.010916E-30  1.012451E-30  1.000000E-30  1.000000E-30
     46  5.560479783168E-04  1.005640E-30  1.003884E-30  1.008267E-30  1.014113E-30  1.011482E-30  1.013094E-30  1.000000E-30  1.000000E-30
     47  5.838060709037E-04  1.005935E-30  1.004097E-30  1.008704E-30  1.014810E-30  1.012046E-30  1.013736E-30  1.000000E-30  1.000000E-30
     48  6.116334118686E-04  1.006233E-30  1.004312E-30  1.009144E-30  1.015507E-30  1.012611E-30  1.014377E-30  1.000000E-30  1.000000E-30
     49  6.396318340541E-04  1.006533E-30  1.004530E-30  1.009590E-30  1.016208E-30  1.013178E-30  1.015022E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.006838E-30  1.004752E-30  1.010042E-30  1.016915E-30  1.013750E-30  1.015671E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.007148E-30  1.004979E-30  1.010502E-30  1.017630E-30  1.014328E-30  1.016327E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.007464E-30  1.005211E-30  1.010972E-30  1.018355E-30  1.014914E-30  1.016993E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.007787E-30  1.005449E-30  1.011453E-30  1.019093E-30  1.015510E-30  1.017669E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.008119E-30  1.005695E-30  1.011947E-30  1.019845E-30  1.016118E-30  1.018359E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.008461E-30  1.005948E-30  1.012456E-30  1.020616E-30  1.016740E-30  1.019064E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.008814E-30  1.006211E-30  1.012982E-30  1.021407E-30  1.017378E-30  1.019787E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.009180E-30  1.006485E-30  1.013529E-30  1.022223E-30  1.018036E-30  1.020533E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.009562E-30  1.006773E-30  1.014100E-30  1.023069E-30  1.018718E-30  1.021305E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.009964E-30  1.007076E-30  1.014700E-30  1.023952E-30  1.019430E-30  1.022111E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.010391E-30  1.007399E-30  1.015340E-30  1.024886E-30  1.020181E-30  1.022962E-30  1.000000E-30  1.000000E-30
     61  1.029744313280E-03  1.010856E-30  1.007753E-30  1.016035E-30  1.025894E-30  1.020992E-30  1.023880E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.011394E-30  1.008165E-30  1.016843E-30  1.027052E-30  1.021924E-30  1.024933E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.011978E-30  1.008613E-30  1.017719E-30  1.028297E-30  1.022924E-30  1.026064E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.012579E-30  1.009078E-30  1.018621E-30  1.029567E-30  1.023943E-30  1.027215E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.013192E-30  1.009554E-30  1.019544E-30  1.030850E-30  1.024973E-30  1.028378E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.013816E-30  1.010041E-30  1.020482E-30  1.032143E-30  1.026010E-30  1.029547E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.014449E-30  1.010538E-30  1.021436E-30  1.033444E-30  1.027051E-30  1.030722E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.015092E-30  1.011045E-30  1.022406E-30  1.034751E-30  1.028098E-30  1.031902E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.015744E-30  1.011562E-30  1.023390E-30  1.036065E-30  1.029149E-30  1.033085E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.016405E-30  1.012088E-30  1.024389E-30  1.037385E-30  1.030204E-30  1.034273E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.017075E-30  1.012625E-30  1.025402E-30  1.038711E-30  1.031262E-30  1.035464E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.017754E-30  1.013171E-30  1.026431E-30  1.040043E-30  1.032325E-30  1.036659E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.018443E-30  1.013727E-30  1.027474E-30  1.041381E-30  1.033391E-30  1.037857E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.019141E-30  1.014294E-30  1.028533E-30  1.042724E-30  1.034461E-30  1.039058E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.019849E-30  1.014870E-30  1.029607E-30  1.044073E-30  1.035534E-30  1.040263E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.020566E-30  1.015457E-30  1.030696E-30  1.045427E-30  1.036611E-30  1.041470E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.021293E-30  1.016055E-30  1.031800E-30  1.046786E-30  1.037691E-30  1.042681E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.022029E-30  1.016662E-30  1.032920E-30  1.048151E-30  1.038774E-30  1.043895E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.022775E-30  1.017281E-30  1.034055E-30  1.049522E-30  1.039861E-30  1.045112E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.023531E-30  1.017910E-30  1.035206E-30  1.050897E-30  1.040951E-30  1.046331E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.024297E-30  1.018549E-30  1.036373E-30  1.052278E-30  1.042044E-30  1.047553E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.025073E-30  1.019200E-30  1.037555E-30  1.053663E-30  1.043140E-30  1.048778E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.025858E-30  1.019861E-30  1.038754E-30  1.055054E-30  1.044239E-30  1.050006E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.026654E-30  1.020533E-30  1.039968E-30  1.056450E-30  1.045341E-30  1.051236E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.027460E-30  1.021216E-30  1.041199E-30  1.057850E-30  1.046446E-30  1.052468E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.028276E-30  1.021911E-30  1.042446E-30  1.059256E-30  1.047554E-30  1.053703E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.029102E-30  1.022616E-30  1.043709E-30  1.060666E-30  1.048664E-30  1.054940E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.029939E-30  1.023333E-30  1.044988E-30  1.062081E-30  1.049777E-30  1.056179E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.030786E-30  1.024061E-30  1.046284E-30  1.063501E-30  1.050893E-30  1.057420E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.031644E-30  1.024801E-30  1.047597E-30  1.064925E-30  1.052011E-30  1.058663E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.032512E-30  1.025552E-30  1.048926E-30  1.066354E-30  1.053132E-30  1.059909E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.033391E-30  1.026315E-30  1.050272E-30  1.067787E-30  1.054256E-30  1.061156E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.034281E-30  1.027089E-30  1.051635E-30  1.069225E-30  1.055381E-30  1.062405E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.035181E-30  1.027875E-30  1.053015E-30  1.070667E-30  1.056510E-30  1.063656E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.036093E-30  1.028673E-30  1.054411E-30  1.072113E-30  1.057640E-30  1.064908E-30  1.000000E-30  1.000000E-30
